RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2490.154802385013,2502.89184609105,2522.2420648939496,2547.827485590677,2569.6563742570092,2589.7330608496845,2601.0746457236614,2611.908040513969,2617.9481795752313,2616.1829090761016,2603.566549803225,2588.6638664115844,2580.786625458419,2583.3275887890504,2592.3132812673693,2605.1825368665413,2620.2373956359056,2636.04179419903,2651.2421838642695,2658.8155225904534,2659.504125637654,2649.7494508364166,2637.2615912069195,2618.5204421726685,2610.4065419146405,2609.5735361701145,2621.968912563076,2638.4295013180626,2659.006393597046,2678.0246451797198,2690.7867978139234,2694.861235202616,2686.757116749076,2666.817453824291,2642.425404605304,2624.5401862776116,2621.756240624035,2629.6036926990446,2646.848887576554,2669.3377617330248,2692.2378424762715,2713.0675402032266,2727.8693180275773,2737.814683202732,2739.4048158096207,2727.549918765506,2711.1458982910885,2695.0719768713566,2691.592969873215,2700.5820677757083,2718.4203943166344,2741.3056363414084,2766.5968752024996,2792.296810356891,2812.2294559602715,2824.186380286275,2826.3852738613273,2820.3764176789737,2803.474134251912,2790.665794287667,2787.5274835137548,2805.044254588799,2819.0377563022676,2809.777989071299,2781.919465587981,2742.6514209129027,2703.6127840357995,,,2507.120800375338,2461.666196450769,2437.4852522544497,2428.366570424766,2442.471948497734,2470.2237632657357,2510.3664063053775,2566.0883185349835,2635.9601743827902,2715.609133809268,2788.1201283075256,2846.557998415059,2881.0292379399234,2907.133510359428,2925.9656927513006,2954.069419346621,2988.9680687070545,3033.4688953798027,3080.2975731756255,3138.2299260058635,3197.8909693904325,3250.042678289534,3280.531672671754,3284.9718745409236,3265.6812737916384,3228.7600199517697,3200.256230021532,3194.008499629948,3206.1679886140164,3228.8467653886482,3262.345333721769,3302.581163419627,3343.697026470965,3371.6621189568204,3383.8537218945526,3379.8937450348517,3358.613601556395,3321.192956272523,3293.7465197450983,3288.206878790476,3311.6519135430153,3348.5362232860016,3388.8470566855735,3431.249617691549,3466.334338827248,3486.501518695231,3489.058172131488,3473.405610732245,3451.5672447510274,3427.7846582920583,3412.155099523609
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1811.4857964385392,1826.0855457411703,1842.4548203369202,1854.6607486318758,1876.248890953681,1886.609600581907,1901.6376242875851,1909.8592980536853,1929.4419549097845,1940.8718387895474,1944.4529158092162,1947.330193378522,1959.7318474578062,1981.317373720775,1998.7588168810578,2007.3278425953802,2025.2034016080024,2041.6443270723287,2054.8993378973755,2052.7161667052465,2052.282766087601,2056.589050563632,2060.1342601839733,2067.3544419578207,2082.855881654847,2097.8182804223566,2122.228613530252,2132.889965297763,2149.167515226483,2157.346874315878,2170.3477260017576,2178.4030178965622,2179.1544013967896,2183.6155773128785,2189.2757938253635,2198.3746357997725,2209.8659551096653,2224.2417900867667,2233.0605599887035,2239.5445453981197,2245.9938169846646,2262.5036852669805,2276.9738954579334,2290.4822866187214,2295.482905789428,2297.860830693061,2299.6795101210696,2304.629198519676,2310.3383819686915,2311.355126453893,2323.1871484553876,2334.705900385158,2349.9707808357034,2360.963934598298,2371.4681804405877,2379.7932555760776,2382.4149313880516,2381.483772466706,2378.3400846153727,2379.238686750003,2381.4610902212576,2388.7174874070774,2386.216957884561,2374.5674291629775,2358.3664118575307,2348.4584609189715,2345.7481233254553,2340.334653917926,2328.311949935278,2316.3469029620155,2309.1827472411874,2304.761913133771,2308.303309812323,2309.508466672535,2318.0012290012296,2325.82283638292,2345.6573972521032,2377.1590634428526,2418.781895918776,2466.8357747428227,2503.4823769532873,2527.1365508545327,2540.520544059746,2559.9209810867887,2581.172995675335,2605.327265920877,2622.2894411221687,2645.7343586809648,2669.311193751619,2693.86389913824,2716.053253268957,2732.921815861351,2744.4389457269167,2738.870319337207,2730.8342137531918,2722.2896396234073,2722.6486760777166,2727.002549671252,2739.902929660958,2750.287002622712,2755.748992547619,2754.900548872915,2755.2739709837865,2761.0385218021133,2763.2351078121683,2758.1665183426044,2742.504225314252,2729.879348917715,2734.4530025312074,2743.180919374126,2760.8130634817317,2769.5314367758774,2784.7395253769564,2795.0936589136963,2807.2080218390593,2812.4293882324782,2816.2887646199483,2812.3472532200503,2809.2539555536073,2802.511386395306
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1194.9274831521618,1198.1069805467755,1203.210133558843,1212.6405125544927,1222.9548443534543,1231.6176465323888,1232.2424359785753,1233.4605295645954,1230.5218777910427,1228.2541615937992,1225.5243096983043,1223.3977392366073,1223.88128219315,1224.441112635412,1231.3458842240166,1237.6851191961928,1241.2865348240828,1241.6920063407358,1240.2745690555366,1237.7652167749914,1232.41095002381,1230.2991124603343,1226.4962298148212,1224.4322864050173,1223.922733921645,1231.0743623912929,1239.1986216320206,1242.4783208555511,1249.6011993697007,1250.2832697503409,1250.3755191779549,1243.9002157222053,1250.6747525070648,1260.091455653051,1273.7210423482493,1282.5116500553468,1285.3434945193471,1291.0684229695935,1289.8614823907744,1297.51616074695,1299.6207958209736,1305.829437524025,1304.9508266513874,1302.5538878137604,1297.8939484121365,1299.7711598799806,1302.2374309988545,1302.8221323311468,1301.895049780619,1298.7302387679922,1304.576095608789,1309.1094511517722,1318.8835711621612,1325.6139362673503,1329.542517053173,1330.1558703363423,1326.2277637957445,1324.6414028748918,1322.5984000764392,1326.1242959725773,1328.6997264180434,1335.6485161827543,1341.573583861338,1337.4526296368872,1329.5344097472746,1320.262497117479,1323.1119008006574,1325.3473891730428,1324.0779485176954,1324.7876759292717,1325.0838082208268,1323.231267081401,1322.9304825657416,1323.3635980289484,1331.85884115215,1344.2742528341116,1364.4424363934802,1392.8957110216909,1418.5045704805698,1440.7053908128955,1454.067276035457,1460.2497105506982,1464.48324452512,1464.413789351547,1471.2901173219605,1480.0811164899142,1491.085352253157,1501.1714059986336,1512.7676679734807,1527.4273389490488,1538.573259902087,1543.2542403446423,1541.6319315986511,1535.2117008790995,1529.513991287134,1528.0764177328392,1533.8333353764472,1542.6422900512478,1552.8938081581737,1557.5077673852468,1565.4052164641873,1572.2766857832985,1579.2155599825358,1579.2058412436193,1574.5905914201296,1569.1713154627703,1566.0310771033128,1565.6073025418577,1569.4475270222406,1574.3795464926268,1577.7906138675787,1584.6916019944595,1593.4424844406055,1602.988655103294,1606.7710807837846,1609.1028340917633,1610.2641660837646,1609.5708772337046,1604.4208920087094,1599.9250103275338
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1466.4792311748151,1475.3941205953581,1485.8082062924675,1496.1468355214718,1509.1546552559046,1521.5508513178784,1527.5052752468248,1530.5787033094723,1524.264577419384,1515.6204385397225,1505.6978203264073,1504.448255034256,1515.326915448001,1528.333054763283,1542.032364331702,1548.867030360059,1556.6101515416278,1566.9440801802225,1575.1366625530052,1579.7314434999366,1570.8388269710968,1557.272603888247,1540.5640646831016,1533.593032115128,1540.6501261130254,1559.2668499045424,1580.1628642499777,1594.6280915285836,1606.322451609072,1612.7207882246491,1615.2276245929174,1608.56182868567,1599.6379536611605,1584.9517859832395,1575.0237669375515,1571.6512296984508,1580.4679714038925,1595.0474086066563,1608.986700689809,1621.4400752610504,1632.4371460262707,1643.0959847511915,1648.2505373473573,1644.9035135217378,1630.362233285363,1614.984386784714,1603.7947175637594,1605.2835400683598,1616.7105219292257,1630.0028059131823,1647.7180818738466,1661.166689585485,1674.889154956102,1682.7113945383014,1687.5427301899306,1688.9906698244874,1682.7540408153325,1674.2542712616723,1663.5970593753407,1658.4262721452099,1666.6527161648366,1680.8885714934243,1696.749208013474,1697.7605660311492,1695.0068425519003,1690.1792611998503,1686.4493595484303,1674.6346497943578,1651.0208360084364,1616.8276176877048,1587.0715993185281,1574.0699603701507,1576.1036629019418,1592.1261496690036,1614.4373872547837,1646.379406711754,1677.6072849899574,1705.337242961369,1723.4726091507057,1734.6467719971433,1736.8297907944727,1733.5824333335759,1729.1388285433827,1733.7675009124935,1749.602310689355,1768.5182081234507,1792.3435919094898,1817.1759450004836,1845.0521677652812,1865.8810744083414,1881.8538971435607,1887.7374039221631,1885.97065027729,1878.5717394660787,1872.193892014698,1871.372555797692,1880.6094351399843,1896.2077012702475,1916.355959470647,1936.0123690766775,1959.4795569362964,1980.3961569266494,1992.0406460773024,1995.5139364034962,1984.5447876388903,1969.7365071098156,1954.0558005862465,1955.1135276084808,1967.042724449491,1989.6260230116222,2009.2758540926152,2034.30997846071,2053.7578813034193,2072.0612424462965,2078.4602039677766,2074.8547398478554,2066.4673542311907,2057.3071202241113,2056.619827066226,2058.444953240669
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1002.3439696362428,1005.8197027603995,1012.255162656762,1020.2873436193131,1029.9445034681075,1038.1822305853595,1039.9539398270438,1038.0299572095473,1036.7126189652654,1041.4368833929052,1043.2442340326797,1044.694951876071,1044.8970682140543,1048.695320484706,1054.4773596722425,1062.7836976603955,1069.2623707192738,1074.2508822776274,1076.1454128535356,1079.9620697863156,1081.3956427360727,1079.721373901235,1079.9824201897509,1078.5727844312025,1083.9467769540406,1088.4264345172444,1097.0036414978058,1103.133916499231,1107.9608307629464,1115.586783461422,1118.9571093894035,1118.5267271567056,1114.979946989839,1111.6985208661447,1109.4172678957918,1108.401266489248,1109.482661032467,1114.3774494826978,1121.036249303973,1126.5128644764095,1131.804405610569,1137.403316472905,1144.5163077341622,1150.595033203341,1150.8990749710156,1150.617020716706,1148.4451101209875,1146.5799153951675,1146.8917102864893,1150.1506341994389,1157.9513387588088,1164.7426847271652,1169.8932803067546,1175.3392044378697,1180.822843914054,1190.3614626363558,1193.0058181164536,1191.783734518794,1182.2375174122565,1180.1357178261326,1180.44968084296,1187.9949204030129,1192.105342477471,1193.2255264937157,1190.0669869739336,1190.7983637862324,1197.4792146706386,1203.6437099741574,1206.8432605205867,1205.8943803995587,1205.8354677321963,1207.8842407898799,1209.9657164294124,1214.1315571323626,1221.3234546245023,1236.4899617410597,1253.8938697140186,1275.3288200765664,1299.8503330360898,1326.902132886616,1346.9789480750183,1357.7706842274222,1362.731295754734,1368.8417815425798,1374.5236562473262,1385.3169459394169,1398.0028299148169,1411.47236314442,1425.065947060852,1435.0540275589062,1447.7958985131456,1450.1403165480417,1447.2346793289921,1435.1587508129999,1426.5504174358869,1422.8783324853625,1429.5137651733507,1434.7780124960107,1446.1978736690874,1448.8734012922712,1454.0806833436034,1450.2291833366976,1448.3752783953387,1444.1442923308496,1438.5369099982595,1429.748497159475,1425.1221714834053,1422.74408183331,1423.8108796570823,1426.1031281504336,1433.5453575397985,1442.65481983442,1447.6123171442543,1448.4909059284419,1448.7099593583166,1446.3716497545406,1439.8790859653027,1424.2302285807461,1414.8840937137306,1409.520455561769
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1172.806084935205,1182.6872985993684,1202.1877804835065,1208.7318924686354,1215.3654901929367,1217.5959923359387,1221.1072854250879,1220.1560524723172,1216.9793585346488,1215.7677685777394,1211.6889462416154,1208.412243280468,1206.916897458752,1218.418125866346,1232.5417163768252,1244.737445357725,1250.9193123827279,1256.7970829266983,1256.9502886378411,1256.3871059263113,1252.2184902214763,1249.6944735391744,1254.0245260623956,1253.4130858554774,1258.531764084529,1263.3070976998922,1277.2565250130206,1287.376771898849,1291.8723333798093,1292.9031825733082,1292.2505937297224,1290.864751318566,1288.7852279306862,1287.4300858578567,1286.677463766832,1289.693159179559,1293.7056935029768,1302.6043193415662,1315.565097790807,1326.2634077955383,1335.5097054495914,1336.7416002538853,1334.212935138365,1332.7929877458143,1331.245315961523,1335.5804625616288,1340.8664323965181,1340.0408202838005,1344.7993295307595,1350.8195645446435,1367.023124904135,1375.5991913370917,1380.6943483775603,1386.6477974176298,1390.623084000494,1390.5060364132041,1386.5056331799879,1386.4945742475445,1385.4416870093826,1387.7592994133124,1390.745536613613,1400.5197228849536,1409.1289158429913,1412.4292175844826,1412.2112139064657,1412.722345081874,1415.1181960309946,1412.5988245174224,1406.4401089324224,1399.696475630979,1397.1522347845332,1398.4608027866122,1403.2509819903328,1408.8651405239552,1416.587913844465,1429.8974805354417,1448.6668391241822,1464.2173675642566,1477.7928027372436,1489.447291857247,1491.2352471079298,1498.3710076414918,1505.9457784736976,1524.7688240519008,1534.4837281785187,1541.0574064203302,1549.9924982295618,1562.1312519819228,1577.2577513318483,1589.560163301263,1595.8707521572278,1597.7859996934753,1597.1917015824486,1593.0027482410956,1591.3610626197085,1587.5690422185685,1593.223377715393,1596.6812470165607,1607.4916750114164,1615.8481255759057,1624.3996063108134,1627.4722295118731,1630.3326735627352,1631.8694842263737,1635.718705336817,1639.604604949244,1642.2362701528484,1640.5361036423415,1643.581911224965,1649.5622338145488,1661.7982906587272,1668.412289383734,1675.9688492019116,1679.9114859751455,1684.4969142595367,1689.680256627708,1692.7976497559478,1695.2559601448036,1696.769750955826,1702.9743057115054
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,826.2332643704189,837.8223913924928,845.3878026668301,854.2697681338096,857.7227976336543,864.8667048762255,868.3183607418785,871.0659307844224,875.3533493582511,877.5516028667115,879.8561831632541,878.2012165491002,885.5373040722139,891.045530064616,900.5439641648313,907.8158891273399,917.2344983085112,924.845855649902,926.8581690315003,926.804874375156,927.5462196944558,927.8825474828457,929.3506534840832,928.9388421082535,935.0808896349544,944.3262440438822,956.6183296263689,968.3505965428409,979.3814425752236,986.4225966308343,989.2784093241272,989.5759606429202,989.1392245514085,990.8592844814298,991.8010900449611,993.9183446174371,997.7550755712073,1004.356600069202,1017.9377194824334,1030.6727030575043,1042.3992003571004,1050.1935572050938,1057.4873242948775,1063.4804514532286,1070.6944154180546,1076.4199432792277,1080.7583356179493,1083.5445778837147,1085.968964212997,1095.7657601788057,1105.776368463897,1119.6802678743843,1129.3703680629358,1140.978718855306,1148.1267254068691,1153.9584865732313,1155.8455027439325,1158.338125305099,1164.6250709790845,1174.4130911252182,1182.9191429863677,1191.1834139350283,1196.1780553583778,1199.1908192871551,1201.1084429326747,1205.7659333371193,1216.402425240711,1229.5650007937882,1239.9536720054268,1248.5888902831716,1253.2005757258034,1264.2493221282093,1274.9659404627878,1288.896055624199,1307.855298418391,1337.5412104570867,1376.4500598158227,1415.4758428548616,,1499.7381229297598,1532.2200032134187,1549.2506184848112,1558.7635844616896,1569.2147031701763,1579.5233345123415,1592.1849794177206,1604.7490452266848,1616.6210138434194,1627.1149181992387,1634.9512852797561,1642.3556932586325,1642.7069793402889,1636.0359808319529,1627.30147935081,1620.7986888330097,1618.9524606384025,1613.68438923232,1615.4154504688463,1625.5613600649149,1636.3977439889889,1644.6499454326572,1642.6617545636943,1643.7198965783234,1637.1458216424173,1634.9014558833621,1627.569968791714,1619.2845827762596,1610.5509388821204,1609.9347465773035,1621.4209440640484,1634.1986455096637,1646.8622423960512,1654.8517374115572,1656.5300575684334,1657.6754404266687,1654.7415171366945,1652.295683590965,1644.4332374155954,1633.5254769701296,1624.662165356519
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,975.6726258973707,980.9588389613366,986.283790398054,993.4644027674764,999.8925297927466,1006.4015824553308,1012.3822984078238,1015.4274321771102,1019.7109688067867,1019.4339355089684,1020.2758455096651,1018.4648401065857,1020.745260539326,1023.9179137763339,1028.6332897597952,1034.3542803208306,1041.3941791330255,1051.0125789049073,1056.0667568722286,1059.6211409111042,1059.9398390812416,1062.5534647744212,1062.9113209068264,1062.9580133303039,1066.422595429551,1074.4117712763746,1085.9924105803043,1094.814200419628,1102.437258540227,1110.0766123723872,1117.4999011430878,1123.4357432406925,1126.886669714681,1128.057167104363,1130.0154204823186,1133.4542987459727,1137.8164134915733,1145.2856028600709,1154.7948703755426,1168.9016159700857,1180.9289799499845,1190.0913657975875,1199.353986700265,1205.3335441614158,1210.3320727648677,1211.1042558507554,1213.6582690317996,1215.8173889921588,1220.615610985382,1225.3992865546622,1237.2467370975,1247.4668870191688,1259.7039167820856,1267.1768227326131,1274.716007036806,1280.7567161217178,1281.957242856706,1283.1167448801807,1281.822881019604,1280.7324136482023,1280.8519671520503,1287.3992215891758,1295.7492021971232,1292.0135811619639,1287.4252972869936,1288.7031719793126,1305.4835846248022,1322.1753008308572,1339.2381082768995,1351.820392528233,1360.9395783007806,1365.9993875403934,1375.5959032540277,1388.872495274446,1406.8925658475391,1419.5879075679286,1456.6221475511795,1505.898109614198,1569.2005977183733,1619.8433083145449,1657.0987926993332,1680.7525311998663,1688.3597798487958,1690.3406598128022,1693.3243211844547,1699.1980646692637,1707.4151404939942,1718.9848848478014,1731.860813445772,1747.777756727791,1761.6291906219828,1754.9305374548692,1737.8984847526833,1712.2892009963505,1695.5870963907348,1683.9924356573617,1682.0652246762936,1687.980836803169,1700.5230916850278,1707.3525229310012,1716.741576858347,1719.5541467899352,1727.9920377482176,1726.2167585766756,1721.9491621402374,1720.4043765856495,1718.5243708661783,1716.8169066785267,1712.7185003146951,1712.2509147512155,1723.5969925101658,1737.0451278576447,1756.1968446166009,1767.8148787814387,1770.0468534938395,1771.4111977811378,1766.785100278153,1764.5905384305615,1756.2690318371806,1750.501479716935
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1706.6049272143896,1720.2980548936034,1729.291051998168,1732.4121849604578,1745.9889964328822,1751.2472188804618,1770.289017737625,1782.9200720567974,1794.2888314470476,1799.219302561948,1799.8353801650842,1805.6734510587912,1812.6333049393131,1818.2428967698934,1828.7410548131986,1833.7105935725756,1845.6817543949307,1862.485733635038,1877.8654660080192,1887.7536368446624,1887.8639332010005,1893.5596447313364,1894.6509250976321,1898.2099726961703,1900.0050343751548,1917.546226376709,1936.021750048091,1955.7123102466066,1969.310592308894,1983.4837411087383,2000.7669137268376,2009.1611388542635,2011.240936389817,2005.926943344455,2005.4105584618355,2007.3282432097772,2018.8080147424962,2032.3690528572836,2048.058670143665,2058.295148264683,2074.946248352375,2084.642662703541,2099.3512799586515,2106.8801081702345,2113.952897015886,2114.337304051744,2107.479063303103,2113.8684543681943,2117.025039856122,2125.18978404961,2129.533269013459,2140.649495413443,2153.8452947171118,2165.379533556128,2177.587750534414,2187.56194613144,2190.0804963558708,2188.5010713674346,2186.998515704634,2194.549207417417,2200.690006385916,2206.961285564988,2206.9982746802552,2195.837754140842,2187.418083191155,2182.2952361053253,2192.101219231541,2197.1971974586304,2205.552271573794,2218.624427094071,2234.269738387006,2244.927772464536,2256.3399891763816,2265.7022003449947,2285.642738727059,2310.8078828375765,2350.4615536373917,2388.507422930377,2442.527260441447,2497.362055217509,2559.4601560591705,2597.091105250252,2622.513993849589,2634.9214962966194,2649.520875146649,2676.0914151366746,2711.0735922899717,2759.2964623141056,2803.259881355042,2849.800744768108,2883.844342943703,2915.917955839427,2923.238213895607,2915.6141738888473,2890.9086638273743,2877.490866303094,2874.2850799636008,2885.367498594885,2911.054161001774,2938.090419386714,2972.465040903767,2995.9676758447217,3016.691044808193,3018.7831091213507,3013.088586410307,2996.6626443045034,2973.7519206391294,2952.5231055071254,2940.9370337442538,2953.687613662318,2975.7933899731615,3004.0728725825816,3022.748245669214,3040.122268683662,3053.101209667639,3056.9894416268457,3055.601758862082,3049.980493600714,3044.7037497684432,3029.763297076646
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1040.8498362434582,1043.312269691687,1052.8314341617727,1064.6821593030488,1079.6742753193123,1090.1300599228043,1102.130070265193,1105.5611207898178,1107.4052317838027,1110.1919218953274,1117.8176026607055,1122.0499945002978,1121.8517580341615,1123.9831987209643,1128.9979730520097,1141.4548711435177,1148.6989380932903,1159.9645693394968,1163.689207428172,1167.3202323218668,1168.3571722114082,1176.4272750545915,1181.5440957591711,1186.3687142254234,1188.7781473454918,1190.735014267921,1205.0126478478937,1214.3712105807056,1228.3641600847288,1229.7518245989427,1233.383066908803,1232.6127248166983,1231.6709264745316,1228.1927892090837,1235.7404838105329,1238.458771527641,1243.4822127671503,1251.2480516461974,1254.1281001857324,1257.369220844947,1255.8935528704164,1270.25185695086,1277.0287941552135,1280.45940811023,1270.8690006066022,1272.3659135046478,1271.1342786107778,1274.2180247722188,1280.0013896143525,1285.596792083011,1297.0237891198774,1303.7082506866611,1311.311211714597,1323.4095729793833,1326.79265133666,1331.0767247261538,1329.0647651706006,1325.833849312133,1319.206287771161,1308.6609224909953,1312.8308818286253,1319.625985735213,1328.8987117533452,1325.6694956770093,1321.454031361027,1318.9380613319806,1320.863272785183,1323.07188563854,1324.7573714579628,1324.609910899897,1322.5968094628806,1322.0594692943678,1324.4625257343025,1333.7653200770321,1342.4627048910788,1360.9831415123656,1384.0657389775986,1417.9027473522556,1451.7875610905826,1480.0179163112898,1500.3643134659576,1510.7344137428147,1521.0085538530013,1530.9674426415386,1542.6407457979374,1558.709439424488,1568.0151493119179,1590.4254238682404,1611.6118984104053,1648.6746420655436,1668.7515542332,1676.7964270771245,1670.996682550045,1652.2652425139213,1641.105331414474,1628.3122157322996,1627.540279944055,1627.348910651933,1635.0772953761348,1643.0622101980055,1651.7409742894013,1655.513539374592,1660.8690929170857,1661.1854524679422,1659.4578606567518,1652.5281726506096,1641.9199423289183,1632.6096389976085,1627.9803854610673,1627.3123497331844,1625.8321086060917,1624.6570826760872,1631.9024402730663,1644.5515259175609,1656.3405885967322,1662.3904185911297,1656.2246657567575,1648.8093671585882,1639.742660763603,1633.9665282342648
