Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
NVEE,"NV5 Global, Inc.",1.23B,18.84,3.40%,914.19M
ARI,"Apollo Commercial Real Estate Finance, Inc.",1.22B,8.86,-0.23%,161.10M
DAVE,Dave Inc.,1.22B,95.82,-1.16%,319.36M
COUR,"Coursera, Inc.",1.22B,7.71,-8.87%,694.67M
HLX,"Helix Energy Solutions Group, Inc.",1.22B,8.02,-1.72%,1.34B
TTGT,"TechTarget, Inc.",1.22B,17.03,-2.07%,260.75M
PCRX,"Pacira BioSciences, Inc.",1.22B,26.33,0.34%,694.96M
EIG,"Employers Holdings, Inc.",1.22B,49.16,-0.41%,889.80M
OCUL,"Ocular Therapeutix, Inc.",1.21B,7.70,-1.03%,61.44M
ARVN,"Arvinas, Inc.",1.21B,17.61,-1.57%,161.10M
SNDX,"Syndax Pharmaceuticals, Inc.",1.21B,14.17,-0.28%,16.00M
FOR,Forestar Group Inc.,1.21B,23.86,-3.32%,1.45B
OLO,Olo Inc.,1.21B,7.38,-0.94%,271.87M
FBMS,"The First Bancshares, Inc.",1.21B,38.35,-0.90%,280.24M
LILAK,Liberty Latin America Ltd.,1.21B,6.13,-3.16%,4.47B
IRS,IRSA Inversiones y Representaciones Sociedad Anónima,1.21B,14.79,-2.76%,370.00M
PFBC,Preferred Bank,1.20B,91.36,1.08%,274.09M
LQDA,Liquidia Corporation,1.20B,14.23,-1.25%,15.61M
CIM,Chimera Investment Corporation,1.20B,14.89,1.29%,442.34M
EVH,"Evolent Health, Inc.",1.20B,10.45,-1.23%,2.46B
SGML,Sigma Lithium Corporation,1.20B,10.75,-0.92%,142.75M
STAA,STAAR Surgical Company,1.19B,24.19,0.92%,341.22M
IDT,IDT Corporation,1.19B,47.18,-0.67%,1.21B
CTOS,"Custom Truck One Source, Inc.",1.19B,5.09,-3.78%,1.80B
WEAV,"Weave Communications, Inc.",1.19B,16.32,-0.43%,195.84M
NTST,NETSTREIT Corp.,1.19B,14.48,-1.03%,155.55M
AMRC,"Ameresco, Inc.",1.19B,22.63,0.58%,1.68B
OBK,"Origin Bancorp, Inc.",1.18B,37.92,-0.58%,348.30M
DQ,Daqo New Energy Corp.,1.18B,17.91,-2.13%,1.31B
OPFI,OppFi Inc.,1.18B,13.71,-0.72%,260.66M
THRM,Gentherm Incorporated,1.18B,38.15,-3.49%,1.47B
MD,"Pediatrix Medical Group, Inc.",1.18B,13.98,-2.98%,2.01B
PMT,PennyMac Mortgage Investment Trust,1.18B,13.60,5.51%,504.60M
RCUS,"Arcus Biosciences, Inc.",1.18B,12.90,-3.59%,263.00M
EFXT,Enerflex Ltd.,1.18B,9.50,-2.16%,2.42B
PSFE,Paysafe Limited,1.18B,19.40,-1.52%,1.70B
EVRI,Everi Holdings Inc.,1.18B,13.64,0.07%,760.42M
ARLO,"Arlo Technologies, Inc.",1.17B,11.71,0.26%,524.41M
BCSF,"Bain Capital Specialty Finance, Inc.",1.17B,18.17,-,294.26M
ECPG,"Encore Capital Group, Inc.",1.17B,49.50,-0.40%,1.33B
SAFT,"Safety Insurance Group, Inc.",1.17B,79.01,-0.63%,1.09B
AMWD,American Woodmark Corporation,1.17B,77.86,-1.89%,1.79B
JBI,"Janus International Group, Inc.",1.17B,8.29,-1.43%,996.80M
FSUN,FirstSun Capital Bancorp,1.17B,42.20,3.38%,359.15M
INVA,"Innoviva, Inc.",1.17B,18.64,-1.38%,352.75M
ACDC,ProFrac Holding Corp.,1.16B,7.27,-4.34%,2.23B
ULH,"Universal Logistics Holdings, Inc.",1.16B,44.22,-3.01%,1.77B
PGRE,"Paramount Group, Inc.",1.16B,4.890,0.62%,553.64M
CARS,Cars.com Inc.,1.16B,17.92,-3.14%,718.33M
XPEL,"XPEL, Inc.",1.16B,41.93,-1.85%,418.41M
VTLE,"Vital Energy, Inc.",1.16B,31.90,-4.63%,1.86B
SAFE,Safehold Inc.,1.16B,16.21,-0.25%,401.07M
NVGS,Navigator Holdings Ltd.,1.15B,16.61,-2.58%,564.28M
MYGN,"Myriad Genetics, Inc.",1.15B,12.67,-1.86%,823.60M
DGII,Digi International Inc.,1.15B,31.25,0.84%,424.05M
CRCT,"Cricut, Inc.",1.15B,5.37,-2.01%,734.48M
EFC,Ellington Financial Inc.,1.15B,12.56,0.80%,290.29M
ANIP,"ANI Pharmaceuticals, Inc.",1.14B,58.64,-1.54%,555.46M
BLBD,Blue Bird Corporation,1.14B,35.62,-1.52%,1.35B
ADPT,Adaptive Biotechnologies Corporation,1.14B,7.75,-1.40%,177.28M
FOXF,Fox Factory Holding Corp.,1.14B,27.32,-3.33%,1.37B
AUPH,Aurinia Pharmaceuticals Inc.,1.14B,7.95,-0.63%,220.36M
SA,Seabridge Gold Inc.,1.13B,12.31,-2.07%,-
PEBO,Peoples Bancorp Inc.,1.13B,32.65,0.12%,423.28M
TPB,"Turning Point Brands, Inc.",1.13B,63.74,1.17%,409.41M
ETNB,"89bio, Inc.",1.13B,9.60,-0.41%,-
DK,"Delek US Holdings, Inc.",1.13B,17.86,-2.62%,13.87B
RC,Ready Capital Corporation,1.13B,6.65,-0.75%,140.36M
BBSI,"Barrett Business Services, Inc.",1.12B,43.33,-0.55%,1.12B
DX,"Dynex Capital, Inc.",1.12B,13.27,0.91%,150.40M
RCKT,"Rocket Pharmaceuticals, Inc.",1.12B,10.74,0.47%,-
CCEC,Capital Clean Energy Carriers Corp.,1.12B,19.19,0.37%,447.31M
APOG,"Apogee Enterprises, Inc.",1.12B,51.02,-2.84%,1.38B
PRO,"PROS Holdings, Inc.",1.12B,23.62,0.68%,322.89M
KALU,Kaiser Aluminum Corporation,1.12B,70.00,-1.03%,2.98B
AOSL,Alpha and Omega Semiconductor Limited,1.12B,38.42,2.67%,658.53M
SBH,"Sally Beauty Holdings, Inc.",1.11B,10.87,-4.06%,3.72B
ARRY,"Array Technologies, Inc.",1.11B,7.33,-1.87%,982.19M
VMEO,"Vimeo, Inc.",1.11B,6.71,-1.47%,419.39M
IGIC,International General Insurance Holdings Ltd.,1.11B,25.07,-1.47%,506.16M
CNCK,Coincheck Group N.V.,1.11B,8.56,-3.82%,2.14B
SII,Sprott Inc.,1.11B,43.57,0.16%,194.38M
PRSU,"Pursuit Attractions and Hospitality, Inc.",1.11B,39.50,-4.68%,1.40B
JKS,"JinkoSolar Holding Co., Ltd.",1.10B,20.77,-0.95%,14.89B
GOGO,Gogo Inc.,1.10B,8.44,1.08%,404.72M
KRO,"Kronos Worldwide, Inc.",1.10B,9.59,-1.54%,1.86B
OMI,"Owens & Minor, Inc.",1.10B,14.24,-2.47%,10.66B
HROW,"Harrow, Inc.",1.09B,30.72,-3.06%,169.14M
IHS,IHS Holding Limited,1.09B,3.280,-5.48%,1.78B
UDMY,"Udemy, Inc.",1.09B,7.48,-1.32%,776.17M
COMM,"CommScope Holding Company, Inc.",1.09B,5.05,1.41%,5.18B
FNA,"Paragon 28, Inc.",1.09B,13.02,-0.08%,245.00M
BRKL,"Brookline Bancorp, Inc.",1.09B,12.23,-0.49%,333.56M
FVRR,Fiverr International Ltd.,1.09B,30.87,-1.06%,379.32M
UP,Wheels Up Experience Inc.,1.09B,1.560,-3.70%,833.67M
PDM,"Piedmont Office Realty Trust, Inc.",1.08B,8.74,0.11%,572.42M
PENG,"Penguin Solutions, Inc.",1.08B,20.28,1.10%,1.24B
PDFS,"PDF Solutions, Inc.",1.08B,27.86,4.58%,170.51M
INVX,"Innovex International, Inc.",1.08B,15.58,-2.01%,543.31M
REPL,"Replimune Group, Inc.",1.08B,13.98,2.64%,-
INOD,Innodata Inc.,1.08B,37.08,2.74%,137.39M
EH,EHang Holdings Limited,1.08B,16.99,-1.34%,49.68M
CSWC,Capital Southwest Corporation,1.07B,22.51,0.85%,195.06M
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,1.07B,3.290,-0.30%,1.17B
MFA,"MFA Financial, Inc.",1.07B,10.50,1.35%,366.19M
AMAL,Amalgamated Financial Corp.,1.07B,34.94,2.34%,304.29M
LQDT,"Liquidity Services, Inc.",1.07B,34.65,-7.10%,363.32M
BBDC,"Barings BDC, Inc.",1.07B,10.12,0.50%,291.39M
ELVN,"Enliven Therapeutics, Inc.",1.07B,21.86,2.77%,-
COHU,"Cohu, Inc.",1.07B,22.91,1.15%,444.88M
BBAI,"BigBear.ai Holdings, Inc.",1.07B,4.240,2.91%,154.97M
BLMN,"Bloomin' Brands, Inc.",1.07B,12.56,-2.56%,4.55B
GOOS,Canada Goose Holdings Inc.,1.06B,10.95,-5.68%,981.03M
TIXT,TELUS International (Cda) Inc.,1.06B,3.860,-1.28%,2.66B
XRX,Xerox Holdings Corporation,1.06B,8.54,-1.50%,6.22B
SKE,Skeena Resources Limited,1.06B,9.83,-1.60%,-
CSR,Centerspace,1.06B,60.75,-0.39%,258.64M
BOW,Bowhead Specialty Holdings Inc.,1.06B,32.33,-1.52%,389.14M
EVGO,"EVgo, Inc.",1.05B,3.470,0.29%,239.31M
OCFC,OceanFirst Financial Corp.,1.05B,17.96,-0.39%,375.23M
NTLA,"Intellia Therapeutics, Inc.",1.05B,10.32,-1.81%,43.09M
NG,NovaGold Resources Inc.,1.05B,3.130,-,-
ARR,"ARMOUR Residential REIT, Inc.",1.05B,18.82,0.21%,185.09M
NRDS,"NerdWallet, Inc.",1.05B,14.28,-4.80%,637.50M
GETY,"Getty Images Holdings, Inc.",1.05B,2.550,2.82%,917.90M
AMN,"AMN Healthcare Services, Inc.",1.05B,27.52,-2.06%,3.07B
REAL,"The RealReal, Inc.",1.05B,9.54,2.69%,579.86M
CMCO,Columbus McKinnon Corporation,1.04B,36.42,-0.76%,1.00B
LMB,"Limbach Holdings, Inc.",1.04B,92.48,-7.38%,517.82M
EMBC,Embecta Corp.,1.04B,17.93,-2.34%,1.12B
UUUU,Energy Fuels Inc.,1.04B,5.31,-4.15%,38.66M
FBRT,"Franklin BSP Realty Trust, Inc.",1.04B,12.73,0.47%,169.68M
SDA,SunCar Technology Group Inc.,1.04B,10.03,-2.24%,407.45M
EXK,Endeavour Silver Corp.,1.04B,3.950,-2.23%,225.93M
AMSC,American Superconductor Corporation,1.04B,26.27,-3.81%,176.14M
BELFA,Bel Fuse Inc.,1.04B,82.61,-8.03%,524.94M
COLL,"Collegium Pharmaceutical, Inc.",1.04B,32.12,-1.20%,599.25M
OLPX,"Olaplex Holdings, Inc.",1.03B,1.560,-1.89%,433.65M
PTLO,Portillo's Inc.,1.03B,13.91,-0.18%,713.80M
LPG,Dorian LPG Ltd.,1.03B,24.04,-5.24%,416.96M
COGT,"Cogent Biosciences, Inc.",1.03B,9.31,-3.22%,-
SSTK,"Shutterstock, Inc.",1.03B,29.52,2.64%,902.18M
DLX,Deluxe Corporation,1.03B,23.19,-0.98%,2.14B
TV,"Grupo Televisa, S.A.B.",1.02B,1.920,-,3.62B
PRLB,"Proto Labs, Inc.",1.02B,41.73,-0.64%,504.19M
OPK,"OPKO Health, Inc.",1.02B,1.520,0.66%,711.41M
PLAY,"Dave & Buster's Entertainment, Inc.",1.02B,26.56,-1.92%,2.20B
BBNX,"Beta Bionic, Inc.",1.02B,23.81,0.76%,53.03M
BELFB,Bel Fuse Inc.,1.02B,81.10,-2.14%,524.94M
KFRC,Kforce Inc.,1.02B,55.73,-0.46%,1.42B
GRAL,"GRAIL, Inc.",1.02B,30.28,-3.90%,117.67M
BFC,Bank First Corporation,1.01B,101.18,-0.61%,158.25M
REAX,The Real Brokerage Inc.,1.01B,5.12,-0.58%,1.10B
DCO,Ducommun Incorporated,1.01B,68.38,-0.39%,781.49M
TMP,Tompkins Financial Corporation,1.01B,70.07,3.95%,292.62M
NXRT,"NexPoint Residential Trust, Inc.",1.01B,39.48,-0.20%,264.97M
GRC,The Gorman-Rupp Company,1.01B,38.38,-1.72%,657.53M
ZYME,Zymeworks Inc.,1.01B,14.60,-0.95%,62.20M
KIND,"Nextdoor Holdings, Inc.",1.00B,2.620,-1.13%,237.61M
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",998.43M,43.54,-1.23%,1.24B
PFC,Premier Financial Corp.,997.46M,27.83,0.54%,249.70M
HSTM,"HealthStream, Inc.",993.05M,32.65,-0.52%,287.99M
RDFN,Redfin Corporation,991.84M,8.00,-3.73%,1.02B
AHH,"Armada Hoffler Properties, Inc.",991.30M,9.78,0.93%,756.90M
CECO,CECO Environmental Corp.,990.61M,28.32,-2.11%,553.08M
GYRE,"Gyre Therapeutics, Inc.",987.81M,11.51,0.09%,105.03M
NX,Quanex Building Products Corporation,987.52M,21.00,-3.31%,1.28B
OPEN,Opendoor Technologies Inc.,986.80M,1.380,-3.50%,4.94B
TRS,TriMas Corporation,985.89M,24.30,-0.69%,906.52M
NEP,"NextEra Energy Partners, LP",985.49M,10.54,0.96%,1.23B
BLND,"Blend Labs, Inc.",985.33M,3.850,-2.78%,156.72M
TLRY,"Tilray Brands, Inc.",984.54M,1.050,-7.08%,829.22M
SCSC,"ScanSource, Inc.",981.95M,41.85,-1.74%,3.02B
AGRO,Adecoagro S.A.,981.14M,9.73,0.83%,1.41B
VLRS,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",978.32M,8.49,-3.08%,3.21B
FPH,"Five Point Holdings, LLC",976.48M,6.57,2.34%,237.93M
ML,MoneyLion Inc.,976.35M,86.98,-0.39%,500.28M
AMTB,Amerant Bancorp Inc.,973.84M,23.20,0.52%,273.79M
PSIX,"Power Solutions International, Inc.",973.11M,42.31,0.98%,436.42M
SBGI,"Sinclair, Inc.",973.06M,14.65,-0.48%,3.37B
ALX,"Alexander's, Inc.",970.13M,189.95,-0.89%,233.40M
BRDG,Bridge Investment Group Holdings Inc.,969.88M,8.01,0.38%,404.93M
CNOB,"ConnectOne Bancorp, Inc.",969.56M,25.34,1.08%,250.27M
CTBI,"Community Trust Bancorp, Inc.",966.28M,53.51,-0.39%,237.61M
FIGS,"FIGS, Inc.",966.22M,5.69,-0.18%,548.64M
KRUS,"Kura Sushi USA, Inc.",965.29M,80.00,-1.49%,250.84M
SBR,Sabine Royalty Trust,965.01M,66.19,-0.47%,97.97M
BHRB,Burke & Herbert Financial Services Corp.,962.66M,64.31,-0.08%,237.73M
DAO,"Youdao, Inc.",962.13M,8.05,3.34%,822.10M
AVBP,"ArriVent BioPharma, Inc.",961.72M,28.54,-1.89%,-
OCS,Oculis Holding AG,960.96M,22.91,2.51%,1.03M
ASPN,"Aspen Aerogels, Inc.",959.13M,11.69,-0.51%,413.83M
CRSR,"Corsair Gaming, Inc.",959.06M,9.16,-1.40%,1.32B
VTOL,Bristow Group Inc.,955.32M,33.37,-1.82%,1.37B
SBSI,"Southside Bancshares, Inc.",954.81M,31.43,0.03%,254.51M
PHVS,Pharvaris N.V.,954.50M,17.60,-0.73%,-
WOLF,"Wolfspeed, Inc.",953.65M,6.13,0.66%,776.60M
TH,Target Hospitality Corp.,952.80M,9.63,-0.10%,428.80M
AMSF,"AMERISAFE, Inc.",952.39M,50.02,0.14%,315.18M
BDN,Brandywine Realty Trust,950.77M,5.49,0.18%,306.93M
HSII,"Heidrick & Struggles International, Inc.",948.83M,46.49,-0.58%,1.08B
NCDL,Nuveen Churchill Direct Lending Corp.,945.02M,17.24,-0.23%,-
CGBD,"Carlyle Secured Lending, Inc.",944.82M,18.56,0.43%,238.92M
GIC,Global Industrial Company,944.68M,24.71,-2.83%,1.33B
WOOF,"Petco Health and Wellness Company, Inc.",942.75M,3.420,-5.52%,6.24B
CBL,"CBL & Associates Properties, Inc.",941.40M,30.61,3.90%,523.58M
ABCL,AbCellera Biologics Inc.,936.31M,3.170,-1.86%,32.96M
PARR,"Par Pacific Holdings, Inc.",935.52M,16.72,-2.28%,8.33B
RDWR,Radware Ltd.,934.39M,22.25,-2.15%,266.88M
HY,"Hyster-Yale, Inc.",934.25M,53.42,-1.42%,4.27B
MSC,Studio City International Holdings Limited,934.05M,4.850,7.30%,627.53M
FWRD,Forward Air Corporation,933.78M,32.25,-2.04%,2.18B
THR,"Thermon Group Holdings, Inc.",932.40M,27.68,-1.67%,493.86M
PFLT,PennantPark Floating Rate Capital Ltd.,932.17M,11.20,0.27%,186.36M
AAMI,Acadian Asset Management Inc.,929.96M,24.92,-1.42%,469.00M
BASE,"Couchbase, Inc.",928.65M,17.74,2.07%,204.63M
ACEL,"Accel Entertainment, Inc.",928.01M,11.27,0.09%,1.21B
ICHR,"Ichor Holdings, Ltd.",926.32M,27.46,-0.83%,819.23M
BCYC,Bicycle Therapeutics plc,924.53M,13.39,4.86%,36.90M
CINT,CI&T Inc.,924.29M,6.96,0.87%,410.25M
SLRC,SLR Investment Corp.,922.52M,16.91,0.42%,236.64M
BKD,Brookdale Senior Living Inc.,922.35M,4.630,-2.53%,2.95B
BKDT,Brookdale Senior Living Inc.,922.35M,68.67,-0.42%,2.95B
PUMP,ProPetro Holding Corp.,914.02M,8.88,-3.48%,1.47B
EEX,"Emerald Holding, Inc.",913.43M,4.500,-2.81%,393.50M
PNTG,"The Pennant Group, Inc.",909.20M,26.47,-3.68%,652.30M
FMBH,"First Mid Bancshares, Inc.",906.37M,37.93,-0.24%,319.38M
MSEX,Middlesex Water Company,904.19M,50.64,-0.71%,183.37M
ECVT,Ecovyst Inc.,904.12M,7.76,-0.89%,695.34M
BXC,BlueLinx Holdings Inc.,903.27M,107.78,-3.99%,2.95B
NESR,National Energy Services Reunited Corp.,901.98M,9.45,-,1.27B
TRIN,Trinity Capital Inc.,901.26M,15.30,1.59%,205.16M
HTLD,"Heartland Express, Inc.",898.26M,11.44,0.35%,1.05B
GDEN,"Golden Entertainment, Inc.",898.02M,32.74,-0.88%,733.31M
SNCY,"Sun Country Airlines Holdings, Inc.",897.86M,16.96,-0.24%,1.06B
EYE,"National Vision Holdings, Inc.",897.75M,11.40,-1.98%,2.18B
ESTA,Establishment Labs Holdings Inc.,897.33M,32.05,-5.07%,153.07M
ANGI,Angi Inc.,895.08M,1.800,-2.17%,1.22B
BGM,BGM Group Ltd.,894.44M,9.20,-2.95%,-
ETWO,"E2open Parent Holdings, Inc.",893.84M,2.630,-1.87%,613.46M
SEAT,Vivid Seats Inc.,893.31M,4.300,1.42%,774.08M
AVAH,Aveanna Healthcare Holdings Inc.,888.84M,4.600,-4.17%,1.98B
CAPL,CrossAmerica Partners LP,885.73M,23.28,0.43%,3.86B
EOLS,"Evolus, Inc.",884.60M,13.97,-1.69%,248.33M
PAHC,Phibro Animal Health Corporation,883.38M,21.81,-0.77%,1.05B
UVSP,Univest Financial Corporation,882.61M,30.39,-1.33%,293.29M
ATLC,Atlanticus Holdings Corporation,876.52M,59.47,-0.85%,374.09M
STKL,SunOpta Inc.,875.72M,7.33,-2.01%,711.68M
OPT,Opthea Limited,875.35M,5.56,1.28%,261.86K
HFWA,Heritage Financial Corporation,873.56M,25.70,0.55%,210.56M
GCT,GigaCloud Technology Inc.,873.52M,21.32,-6.12%,1.11B
PRAA,"PRA Group, Inc.",871.72M,22.11,-2.25%,1.04B
RWT,"Redwood Trust, Inc.",868.00M,6.55,1.08%,268.36M
DRD,DRDGOLD Limited,867.53M,10.07,-2.71%,341.81M
UTL,Unitil Corporation,867.26M,53.57,-0.11%,496.90M
MATW,Matthews International Corporation,866.81M,27.99,-3.95%,1.80B
BORR,Borr Drilling Limited,863.41M,3.470,1.76%,968.10M
UAN,"CVR Partners, LP",861.43M,81.50,-1.12%,527.39M
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",860.44M,12.84,-2.65%,751.94M
WLKP,Westlake Chemical Partners LP,859.82M,24.40,-0.16%,1.14B
ASTL,Algoma Steel Group Inc.,852.09M,8.16,-5.66%,1.84B
HCKT,"The Hackett Group, Inc.",852.09M,30.88,-0.26%,300.74M
MTAL,MAC Copper Limited,851.01M,10.32,-1.62%,322.58M
CVAC,CureVac N.V.,850.15M,3.790,-0.79%,70.57M
BFLY,"Butterfly Network, Inc.",850.12M,3.990,-2.45%,76.22M
ADV,Advantage Solutions Inc.,846.79M,2.640,-2.94%,3.99B
SWIM,"Latham Group, Inc.",844.06M,7.30,-2.41%,512.11M
RSKD,Riskified Ltd.,843.25M,5.14,-0.96%,318.05M
AVO,"Mission Produce, Inc.",843.18M,11.89,-0.67%,1.23B
OSBC,"Old Second Bancorp, Inc.",842.80M,18.79,0.11%,272.70M
JBSS,"John B. Sanfilippo & Son, Inc.",841.90M,72.34,-6.55%,1.12B
YEXT,"Yext, Inc.",839.75M,6.58,-1.05%,408.97M
SKYH,Sky Harbour Group Corporation,839.10M,10.73,-3.77%,12.36M
ASIX,AdvanSix Inc.,836.15M,31.28,0.29%,1.57B
INN,"Summit Hotel Properties, Inc.",834.46M,6.71,-0.74%,736.29M
DEC,Diversified Energy Company PLC,833.35M,15.94,-1.42%,699.47M
IPX,IperionX Limited,833.20M,26.11,2.43%,-
ADSE,ADS-TEC Energy PLC,832.27M,16.18,0.43%,158.97M
NBN,Northeast Bank,830.48M,101.20,-0.28%,157.67M
ERII,"Energy Recovery, Inc.",830.20M,14.34,-1.51%,135.06M
FUFU,BitFuFu Inc.,829.17M,5.09,-2.12%,452.74M
PPTA,Perpetua Resources Corp.,829.01M,11.80,-0.34%,-
INDI,"indie Semiconductor, Inc.",827.86M,4.100,-3.07%,228.81M
NEXA,Nexa Resources S.A.,826.42M,6.24,4.35%,2.66B
BJRI,"BJ's Restaurants, Inc.",825.73M,36.19,-1.76%,1.34B
CBLL,"CeriBell, Inc.",824.32M,23.01,-3.32%,60.04M
IIIV,"i3 Verticals, Inc.",823.57M,24.89,-0.92%,229.92M
ADTN,"ADTRAN Holdings, Inc.",819.05M,10.37,-2.63%,905.35M
ARKO,Arko Corp.,818.50M,7.07,-1.67%,8.97B
NBBK,"NB Bancorp, Inc.",818.24M,19.16,-0.26%,146.99M
HCSG,"Healthcare Services Group, Inc.",812.80M,11.09,-0.89%,1.70B
UXIN,Uxin Limited,811.92M,4.320,-8.09%,232.10M
GRNT,"Granite Ridge Resources, Inc.",809.31M,6.19,-2.06%,358.52M
CPF,Central Pacific Financial Corp.,808.96M,29.89,1.53%,240.63M
XPOF,"Xponential Fitness, Inc.",808.11M,16.73,-3.41%,326.72M
PDS,Precision Drilling Corporation,806.89M,58.29,-2.91%,1.44B
OEC,Orion S.A.,805.20M,13.95,-3.79%,1.91B
HOV,"Hovnanian Enterprises, Inc.",801.68M,132.39,-4.27%,3.00B
AXGN,"Axogen, Inc.",801.39M,18.21,-0.33%,180.86M
CFB,"CrossFirst Bankshares, Inc.",800.97M,16.24,-,250.66M
TECX,"Tectonic Therapeutic, Inc.",798.71M,54.14,-1.28%,-
FIP,FTAI Infrastructure Inc.,798.49M,7.02,0.43%,332.17M
CDMO,"Avid Bioservices, Inc.",798.26M,12.48,0.16%,150.45M
BFST,"Business First Bancshares, Inc.",797.62M,26.99,-0.66%,260.70M
HUYA,HUYA Inc.,796.94M,3.500,-6.17%,871.49M
SHLS,"Shoals Technologies Group, Inc.",796.82M,4.780,1.92%,422.66M
CLB,Core Laboratories Inc.,796.74M,16.97,-4.39%,523.85M
ASTE,"Astec Industries, Inc.",796.01M,34.91,-1.86%,1.28B
NTGR,"NETGEAR, Inc.",795.48M,27.65,-0.40%,680.01M
FCBC,"First Community Bankshares, Inc.",794.62M,43.37,-0.16%,162.26M
MGPI,"MGP Ingredients, Inc.",793.17M,36.13,0.19%,737.72M
SXC,"SunCoke Energy, Inc.",792.06M,9.39,-2.59%,1.94B
CSTL,"Castle Biosciences, Inc.",791.77M,28.27,0.18%,311.88M
EGBN,"Eagle Bancorp, Inc.",791.59M,26.21,0.61%,242.06M
ETD,Ethan Allen Interiors Inc.,788.84M,31.02,-2.21%,626.65M
TCPC,BlackRock TCP Capital Corp.,788.29M,9.21,0.33%,249.04M
MBWM,Mercantile Bank Corporation,787.89M,48.81,0.12%,224.08M
AVXL,Anavex Life Sciences Corp.,786.24M,9.27,-3.13%,-
SITC,SITE Centers Corp.,785.40M,14.98,-1.64%,451.68M
DMRC,Digimarc Corporation,784.99M,36.67,-2.76%,39.04M
MCBS,"MetroCity Bankshares, Inc.",783.93M,30.86,-0.71%,140.69M
ECO,Okeanis Eco Tankers Corp.,782.43M,24.19,-0.66%,399.71M
GHLD,Guild Holdings Company,781.62M,12.63,1.45%,829.86M
AIOT,"PowerFleet, Inc.",781.25M,5.91,-3.27%,221.07M
NUVB,Nuvation Bio Inc.,777.47M,2.310,-3.75%,2.16M
TYG,Tortoise Energy Infrastructure Corporation,777.18M,45.08,-0.55%,13.62M
AC,"Associated Capital Group, Inc.",776.64M,36.57,0.85%,13.66M
ANNA,"AleAnna, Inc.",774.03M,11.63,-1.52%,648.33K
DAKT,"Daktronics, Inc.",772.76M,16.41,-2.84%,820.60M
CFFN,"Capitol Federal Financial, Inc.",772.43M,5.95,1.54%,181.72M
SPLP,Steel Partners Holdings L.P.,771.26M,40.20,2.03%,2.00B
PLYM,"Plymouth Industrial REIT, Inc.",770.78M,16.80,-0.59%,201.57M
NVRI,Enviri Corporation,767.69M,9.58,-1.54%,2.09B
HBT,"HBT Financial, Inc.",767.52M,24.32,-2.17%,221.39M
QURE,uniQure N.V.,767.22M,15.74,-0.32%,28.59M
FDUS,Fidus Investment Corporation,766.81M,22.61,0.80%,145.01M
PRTA,Prothena Corporation plc,765.70M,14.23,-3.20%,133.35M
CAC,Camden National Corporation,765.65M,45.36,-0.24%,177.40M
PRA,ProAssurance Corporation,765.30M,14.96,-0.33%,1.16B
GSL,"Global Ship Lease, Inc.",764.80M,21.58,-1.10%,701.48M
VTS,"Vitesse Energy, Inc.",764.59M,25.88,-1.82%,232.52M
MBUU,"Malibu Boats, Inc.",764.14M,38.29,-1.52%,733.99M
AVDL,Avadel Pharmaceuticals plc,761.26M,7.90,2.73%,138.16M
CEVA,"CEVA, Inc.",761.02M,32.21,0.25%,101.88M
TYRA,"Tyra Biosciences, Inc.",760.64M,14.46,-1.70%,-
IBCP,Independent Bank Corporation,760.60M,36.40,0.06%,218.14M
TXO,"TXO Partners, L.P.",760.58M,18.59,-2.16%,285.45M
WRLD,World Acceptance Corporation,759.72M,141.16,-1.53%,558.62M
EQBK,"Equity Bancshares, Inc.",759.51M,43.60,-0.57%,220.31M
MAX,"MediaAlpha, Inc.",759.31M,11.39,-1.13%,681.23M
SEDG,"SolarEdge Technologies, Inc.",759.15M,13.10,-1.58%,1.05B
FNKO,"Funko, Inc.",758.19M,14.00,-,1.05B
SCWX,SecureWorks Corp.,756.45M,8.51,0.24%,339.72M
MYTE,MYT Netherlands Parent B.V.,756.31M,8.87,-4.32%,953.70M
JELD,"JELD-WEN Holding, Inc.",754.81M,8.92,-4.80%,3.90B
MLR,"Miller Industries, Inc.",754.65M,65.97,-3.85%,1.33B
DH,Definitive Healthcare Corp.,752.89M,4.860,-1.22%,255.85M
THRY,"Thryv Holdings, Inc.",751.22M,17.51,0.92%,873.72M
SEPN,"Septerna, Inc.",750.85M,16.91,-4.52%,981.00K
IRMD,IRADIMED CORPORATION,750.39M,59.21,-1.82%,71.31M
TWNP,Twin Hospitality Group Inc.,750.02M,14.95,-12.57%,-
RLAY,"Relay Therapeutics, Inc.",748.20M,4.470,-1.54%,10.01M
MLAB,"Mesa Laboratories, Inc.",747.85M,137.69,-3.21%,228.38M
AVNS,"Avanos Medical, Inc.",743.23M,17.22,-1.32%,681.50M
TIPT,Tiptree Inc.,742.60M,20.04,-0.64%,1.99B
CLNE,Clean Energy Fuels Corp.,739.64M,3.310,-0.30%,413.40M
CURV,Torrid Holdings Inc.,739.58M,7.06,5.22%,1.12B
BALY.T,Bally's Corporation,739.32M,17.70,1.14%,2.48B
