Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
SATL,Satellogic Inc.,266.65M,2.800,0.72%,13.72M
PAL,"Proficient Auto Logistics, Inc.",265.97M,9.84,0.31%,147.41M
ACRS,"Aclaris Therapeutics, Inc.",265.41M,2.480,3.77%,27.08M
MTA,Metalla Royalty & Streaming Ltd.,265.29M,2.850,-2.73%,5.05M
LFVN,LifeVantage Corporation,265.03M,21.16,-5.54%,196.01M
NRGV,"Energy Vault Holdings, Inc.",264.69M,1.740,-5.95%,130.96M
LNKB,"LINKBANCORP, Inc.",264.21M,7.07,-0.70%,108.50M
TG,Tredegar Corporation,263.96M,7.85,-1.01%,717.37M
ILPT,Industrial Logistics Properties Trust,262.59M,3.970,-1.49%,440.70M
ARQ,"Arq, Inc.",262.28M,6.24,-0.79%,110.02M
HDSN,"Hudson Technologies, Inc.",262.15M,5.80,0.87%,247.33M
TSAT,Telesat Corporation,261.77M,18.43,-4.06%,450.76M
ATGL,Alpha Technology Group Limited,261.75M,15.90,-0.56%,1.59M
RMNI,"Rimini Street, Inc.",261.62M,2.880,-1.37%,426.65M
INVZ,Innoviz Technologies Ltd.,261.46M,1.550,3.33%,33.16M
PINE,"Alpine Income Property Trust, Inc.",261.28M,16.86,2.43%,50.02M
TVGN,Tevogen Bio Holdings Inc.,260.83M,1.490,11.19%,-
ATAI,Atai Life Sciences N.V.,260.09M,1.550,-3.13%,331.00K
LIEN,"Chicago Atlantic BDC, Inc.",259.70M,11.38,-2.07%,12.68M
DRTS,Alpha Tau Medical Ltd.,259.38M,3.700,-2.63%,-
NUTX,Nutex Health Inc.,258.96M,47.63,-0.48%,292.00M
FDMT,"4D Molecular Therapeutics, Inc.",258.88M,5.60,-,17.00K
HRTX,"Heron Therapeutics, Inc.",258.56M,1.700,-1.73%,137.74M
AVIR,"Atea Pharmaceuticals, Inc.",258.46M,3.060,2.34%,-
AFRI,Forafric Global PLC,258.31M,9.61,-0.41%,325.10M
BYND,"Beyond Meat, Inc.",258.21M,3.960,-2.70%,323.47M
REI,"Ring Energy, Inc.",257.65M,1.300,-2.99%,365.61M
VNDA,Vanda Pharmaceuticals Inc.,257.14M,4.410,-3.71%,190.86M
NATR,"Nature's Sunshine Products, Inc.",257.00M,13.91,-5.50%,445.10M
FDBC,"Fidelity D & D Bancorp, Inc.",256.97M,44.80,0.49%,79.41M
FLXS,"Flexsteel Industries, Inc.",256.91M,49.33,-4.12%,422.16M
SBXD,SilverBox Corp IV,256.84M,10.09,-,-
SGMO,"Sangamo Therapeutics, Inc.",256.64M,1.230,-,52.29M
SAMG,Silvercrest Asset Management Group Inc.,256.50M,18.50,-0.11%,120.23M
ARQQ,Arqit Quantum Inc.,256.33M,20.50,-4.52%,293.00K
CEPO,"Cantor Equity Partners I, Inc.",256.28M,10.05,-,-
PDYN,Palladyne AI Corp.,256.26M,8.51,0.71%,7.77M
HVII,Hennessy Capital Investment Corp. VII,255.85M,10.03,0.10%,-
CPSS,"Consumer Portfolio Services, Inc.",253.87M,11.86,-4.66%,184.25M
BDMD,Baird Medical Investment Holdings Limited,253.67M,7.09,-2.61%,33.05M
MVBF,MVB Financial Corp.,252.49M,19.51,-1.66%,140.25M
CTNM,"Contineum Therapeutics, Inc.",252.36M,9.79,-4.21%,-
ATOM,Atomera Incorporated,252.10M,8.76,4.66%,662.00K
BACQ,Bleichroeder Acquisition Corp. I,251.96M,10.13,0.10%,-
WSBF,"Waterstone Financial, Inc.",251.91M,13.74,-0.07%,135.64M
SLN,Silence Therapeutics plc,251.66M,5.33,1.52%,21.77M
HLXB,Helix Acquisition Corp. II,251.55M,10.70,0.47%,-
ICG,Intchains Group Limited,251.14M,4.190,-,34.65M
VLN,Valens Semiconductor Ltd.,250.84M,2.360,-6.35%,63.13M
SLDP,"Solid Power, Inc.",250.74M,1.390,-,18.03M
ANIK,"Anika Therapeutics, Inc.",249.85M,17.06,-1.27%,164.17M
IONR,ioneer Ltd,249.74M,4.400,-1.79%,-
ZYXI,"Zynex, Inc.",249.67M,7.84,-2.97%,193.67M
TDUP,ThredUp Inc.,249.13M,2.190,-0.91%,313.76M
SKIL,Skillsoft Corp.,248.51M,30.00,0.54%,534.78M
AMLX,"Amylyx Pharmaceuticals, Inc.",248.50M,3.650,3.99%,196.49M
ATLN,Atlantic International Corp.,248.27M,4.330,1.41%,429.26M
FOA,Finance of America Companies Inc.,247.76M,24.96,-1.65%,719.53M
CFFI,C&F Financial Corporation,247.12M,76.42,0.47%,114.06M
SGC,"Superior Group of Companies, Inc.",246.59M,15.09,-3.70%,567.51M
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",246.36M,4.710,-2.69%,66.06M
DMAC,DiaMedica Therapeutics Inc.,246.30M,5.76,-1.54%,-
