Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
ITRG,Integra Resources Corp.,177.62M,1.050,1.45%,-
VIRC,Virco Mfg. Corporation,177.55M,10.90,-1.09%,280.38M
BRLT,"Brilliant Earth Group, Inc.",177.39M,1.800,-,426.98M
UMAC,"Unusual Machines, Inc.",176.95M,12.04,0.50%,3.56M
VOR,Vor Biopharma Inc.,176.85M,1.420,2.16%,-
NOTE,"FiscalNote Holdings, Inc.",176.52M,1.250,-0.79%,125.06M
PLBY,"PLBY Group, Inc.",176.49M,1.970,18.67%,124.76M
ACTU,"Actuate Therapeutics, Inc.",176.37M,9.03,2.27%,-
NEGG,"Newegg Commerce, Inc.",176.12M,0.454,3.75%,1.39B
SPKL,Spark I Acquisition Corporation,175.39M,10.68,-,-
IDR,"Idaho Strategic Resources, Inc.",174.59M,12.77,-2.00%,21.96M
SKGR,SK Growth Opportunities Corporation,174.32M,11.64,-0.07%,-
EGAN,eGain Corporation,174.00M,6.10,-1.93%,90.43M
EPM,Evolution Petroleum Corporation,173.80M,5.31,-2.21%,87.17M
BVFL,"BV Financial, Inc.",173.25M,15.24,-0.39%,37.90M
CLPR,Clipper Realty Inc.,172.97M,4.080,-1.69%,145.60M
STIM,"Neuronetics, Inc.",172.52M,3.100,-9.09%,72.71M
LYEL,"Lyell Immunopharma, Inc.",172.46M,0.590,1.22%,63.00K
NBTX,Nanobiotix S.A.,172.45M,3.485,-1.83%,45.22M
INFU,"InfuSystem Holdings, Inc.",172.02M,8.06,-1.10%,132.78M
GLSI,"Greenwich LifeSciences, Inc.",170.09M,12.94,-1.90%,-
ASM,Avino Silver & Gold Mines Ltd.,169.85M,1.190,-5.56%,54.33M
AKA,a.k.a. Brands Holding Corp.,169.82M,15.96,-4.89%,564.59M
FSFG,"First Savings Financial Group, Inc.",169.38M,24.76,2.31%,73.62M
SKYX,SKYX Platforms Corp.,169.13M,1.650,3.77%,84.77M
JYD,Jayud Global Logistics Limited,168.89M,3.710,6.61%,82.43M
MPTI,"M-tron Industries, Inc.",168.80M,58.90,1.45%,46.98M
REE,REE Automotive Ltd.,168.49M,8.65,-3.14%,626.00K
PSQH,"PSQ Holdings, Inc.",168.18M,3.950,0.25%,18.74M
SSTI,"SoundThinking, Inc.",168.06M,13.35,-1.55%,104.67M
HTCO,Caravelle International Group,168.04M,2.980,0.34%,80.57M
BFIN,BankFinancial Corporation,167.97M,13.48,0.97%,54.35M
GRO,Brazil Potash Corp.,167.92M,4.380,-1.57%,-
TCX,Tucows Inc.,167.82M,15.25,-4.51%,356.14M
MED,"Medifast, Inc.",167.23M,15.70,-0.44%,674.48M
EML,The Eastern Company,167.07M,27.02,-2.60%,284.46M
BTOC,Armlogi Holding Corp.,166.29M,3.990,-0.99%,168.21M
VOXX,VOXX International Corporation,166.16M,7.38,0.14%,427.49M
SCPH,scPharmaceuticals Inc.,166.13M,3.320,-3.77%,30.28M
UBFO,United Security Bancshares,165.78M,9.57,-0.21%,48.60M
CRGX,"CARGO Therapeutics, Inc.",165.70M,3.600,6.19%,-
JYNT,The Joint Corp.,165.57M,11.05,-2.56%,120.80M
OPRT,Oportun Financial Corporation,165.49M,4.600,12.20%,796.99M
AMWL,American Well Corporation,165.15M,10.78,-7.31%,254.04M
NKTX,"Nkarta, Inc.",165.13M,2.340,-0.85%,-
BIOA,"BioAge Labs, Inc.",164.55M,4.590,-3.97%,-
SLND,"Southland Holdings, Inc.",164.51M,3.050,1.67%,1.03B
RMBL,"RumbleOn, Inc.",164.27M,4.350,-2.68%,1.25B
NAMI,Jinxin Technology Holding Company,163.95M,2.560,-1.54%,56.13M
MHH,"Mastech Digital, Inc.",163.53M,13.97,3.10%,194.25M
ATLO,Ames National Corporation,163.03M,18.13,-0.11%,54.22M
BOOM,DMC Global Inc.,163.02M,8.14,-3.78%,664.51M
ALEC,"Alector, Inc.",162.57M,1.660,-3.49%,61.51M
ADCT,ADC Therapeutics SA,162.44M,1.680,-2.33%,70.72M
NVNI,Nvni Group Limited,162.00M,5.66,0.53%,23.56M
SSP,The E.W. Scripps Company,161.90M,1.880,-5.05%,2.40B
CBNA,"Chain Bridge Bancorp, Inc.",161.42M,24.60,-1.24%,53.11M
IBAC,IB Acquisition Corp.,161.27M,10.24,0.20%,-
FEIM,"Frequency Electronics, Inc.",160.80M,16.73,-0.89%,60.19M
CHGG,"Chegg, Inc.",160.63M,1.540,0.65%,662.08M
CLLS,Cellectis S.A.,160.22M,1.610,1.90%,36.04M
IZTC,"Invizyne Technologies, Inc.",159.70M,16.76,-5.84%,-700.00
RANG,Range Capital Acquisition Corp.,159.57M,9.95,-,-
AXR,AMREP Corporation,159.56M,30.36,-0.72%,63.22M
TWIN,"Twin Disc, Incorporated",159.24M,11.29,-1.91%,304.47M
DOUG,Douglas Elliman Inc.,158.72M,1.780,1.14%,966.44M
STRO,"Sutro Biopharma, Inc.",158.32M,1.920,-1.54%,160.96M
CZWI,"Citizens Community Bancorp, Inc.",158.11M,15.84,0.25%,59.76M
ESHA,ESH Acquisition Corp.,157.92M,10.77,-,-
GRRR,Gorilla Technology Group Inc.,157.80M,13.59,0.74%,78.94M
XNET,Xunlei Limited,157.21M,2.480,-4.62%,359.61M
PHH,"Park Ha Biological Technology Co., Ltd.",157.20M,6.00,2.56%,1.94M
FCEL,"FuelCell Energy, Inc.",157.05M,7.68,-1.16%,112.13M
HCVI,Hennessy Capital Investment Corp. VI,156.81M,10.71,-0.27%,-
PTMN,Portman Ridge Finance Corporation,156.80M,17.02,-0.76%,65.83M
IPHA,Innate Pharma S.A.,156.80M,1.830,4.57%,36.20M
NIU,Niu Technologies,156.75M,2.020,-0.98%,420.24M
CFBK,CF Bankshares Inc.,156.48M,24.44,-1.97%,44.40M
TOYO,"TOYO Co., Ltd.",156.39M,3.246,-2.81%,200.46M
CXDO,"Crexendo, Inc.",156.38M,5.77,0.17%,58.76M
MDV,"Modiv Industrial, Inc.",156.15M,14.64,0.53%,47.42M
STRS,Stratus Properties Inc.,155.98M,19.29,0.89%,48.16M
TLSI,"TriSalus Life Sciences, Inc.",155.82M,5.11,-,26.89M
QRTEB,"Qurate Retail, Inc.",155.76M,2.100,-8.70%,10.24B
CDLX,"Cardlytics, Inc.",155.52M,3.060,0.16%,293.47M
GLDG,GoldMining Inc.,154.80M,0.797,-0.87%,-
VXRT,"Vaxart, Inc.",154.64M,0.680,-4.92%,16.76M
BETR,Better Home & Finance Holding Company,154.23M,10.18,-3.69%,85.78M
RFAI,RF Acquisition Corp II,154.18M,10.27,-,-
VATE,INNOVATE Corp.,154.10M,11.62,4.97%,1.23B
RAPT,"RAPT Therapeutics, Inc.",153.85M,1.140,-,-
TAVI,Tavia Acquisition Corp.,153.37M,10.12,0.02%,-
FRAF,Franklin Financial Services Corporation,153.13M,34.59,1.98%,69.21M
CBFV,"CB Financial Services, Inc.",152.95M,29.80,0.37%,50.94M
RENE,Cartesian Growth Corporation II,152.88M,11.75,-,-
NKTR,Nektar Therapeutics,152.60M,0.827,-2.74%,93.14M
IKT,"Inhibikase Therapeutics, Inc.",152.53M,2.270,18.23%,1.00
TROO,"TROOPS, Inc.",152.40M,1.500,-,4.34M
BAER,"Bridger Aerospace Group Holdings, Inc.",152.26M,2.810,1.81%,84.14M
CSTE,Caesarstone Ltd.,151.97M,4.400,-3.93%,473.88M
NNBR,"NN, Inc.",151.84M,3.040,-3.80%,470.31M
BMEA,"Biomea Fusion, Inc.",151.48M,4.180,-1.65%,-
LTRX,"Lantronix, Inc.",151.21M,3.930,1.55%,161.72M
ADAP,Adaptimmune Therapeutics plc,150.97M,0.590,-3.12%,175.04M
PEBK,"Peoples Bancorp of North Carolina, Inc.",150.96M,28.49,-1.76%,80.00M
UFG,Uni-Fuels Holdings Limited,150.87M,4.700,-4.67%,130.67M
MX,Magnachip Semiconductor Corporation,150.67M,4.050,1.00%,219.52M
CSBR,"Champions Oncology, Inc.",150.55M,10.99,2.71%,53.57M
GPRO,"GoPro, Inc.",150.44M,0.972,-2.79%,896.01M
III,"Information Services Group, Inc.",150.16M,3.060,-0.65%,255.99M
BANX,ArrowMark Financial Corp.,150.00M,21.07,-0.14%,29.95M
BDSX,"Biodesix, Inc.",149.83M,1.030,-0.96%,65.56M
BHM,"Bluerock Homes Trust, Inc.",149.79M,11.61,0.96%,58.20M
ONDS,Ondas Holdings Inc.,149.54M,1.750,3.55%,8.02M
STRT,Strattec Security Corporation,149.44M,37.46,-2.90%,541.41M
WLAC,Willow Lane Acquisition Corp.,149.35M,10.05,-,-
RCMT,"RCM Technologies, Inc.",148.37M,19.53,-2.69%,272.50M
BDTX,"Black Diamond Therapeutics, Inc.",148.25M,2.620,3.97%,-
FATE,"Fate Therapeutics, Inc.",148.06M,1.300,-5.11%,13.45M
DXLG,"Destination XL Group, Inc.",147.72M,2.720,-0.73%,484.95M
ISRL,Israel Acquisitions Corp,147.23M,11.49,0.09%,-
AISP,"Airship AI Holdings, Inc.",147.11M,4.470,-2.83%,24.05M
TSE,Trinseo PLC,146.56M,4.140,0.73%,3.53B
PVLA,"Palvella Therapeutics, Inc.",145.88M,13.00,-4.06%,-
NCTY,The9 Limited,145.78M,15.61,-4.29%,24.29M
SBFG,"SB Financial Group, Inc.",145.27M,22.37,0.49%,56.77M
TIL,"Instil Bio, Inc.",145.27M,22.26,-7.29%,-
TCRX,"TScan Therapeutics, Inc.",145.22M,2.570,-0.39%,9.36M
AKYA,"Akoya Biosciences, Inc.",144.75M,2.920,-2.34%,86.82M
TELO,"Telomir Pharmaceuticals, Inc.",144.60M,4.860,7.52%,-
RMBI,"Richmond Mutual Bancorporation, Inc.",144.53M,14.42,-0.28%,42.92M
MMLP,Martin Midstream Partners L.P.,144.48M,3.630,-1.89%,717.40M
UNB,"Union Bankshares, Inc.",144.33M,31.90,1.11%,46.39M
NOTV,"Inotiv, Inc.",144.31M,4.280,-4.04%,490.74M
MCRB,"Seres Therapeutics, Inc.",144.26M,0.845,-1.34%,126.33M
TUSK,"Mammoth Energy Services, Inc.",143.90M,2.990,-,187.51M
CURI,CuriosityStream Inc.,143.69M,2.590,18.81%,51.78M
LCUT,"Lifetime Brands, Inc.",143.58M,6.48,5.58%,670.89M
SRI,"Stoneridge, Inc.",143.15M,5.17,-3.18%,919.56M
NEON,Neonode Inc.,142.82M,8.51,-0.58%,3.80M
LTBR,Lightbridge Corporation,142.69M,9.05,3.31%,-
PAYS,"Paysign, Inc.",142.44M,2.660,-3.27%,56.47M
FRGE,"Forge Global Holdings, Inc.",142.34M,0.770,-0.04%,79.80M
VTYX,"Ventyx Biosciences, Inc.",142.13M,2.010,-1.95%,-
SGHT,"Sight Sciences, Inc.",142.11M,2.800,-5.72%,79.54M
DIBS,"1stdibs.Com, Inc.",142.04M,3.890,6.58%,86.41M
SHIP,Seanergy Maritime Holdings Corp.,141.99M,6.93,-1.28%,165.21M
IFRX,InflaRx N.V.,141.91M,2.410,1.69%,187.93K
GPMT,Granite Point Mortgage Trust Inc.,141.88M,2.840,-0.35%,-140.09M
PBYI,"Puma Biotechnology, Inc.",141.86M,2.890,-4.93%,243.57M
SGMT,Sagimet Biosciences Inc.,141.66M,4.400,8.37%,-
QIPT,Quipt Home Medical Corp.,141.42M,3.230,1.89%,245.92M
PHX,PHX Minerals Inc.,141.30M,3.770,-3.08%,31.94M
FTLF,"FitLife Brands, Inc.",141.26M,30.72,0.69%,62.76M
SLNG,"Stabilis Solutions, Inc.",141.15M,7.60,1.67%,74.04M
SEER,"Seer, Inc.",140.93M,2.390,1.27%,14.61M
RILY,"B. Riley Financial, Inc.",140.45M,4.605,-1.18%,981.03M
LARK,"Landmark Bancorp, Inc.",140.42M,24.31,-0.41%,56.99M
HFFG,HF Foods Group Inc.,140.28M,2.660,-3.62%,1.18B
QRTEA,"Qurate Retail, Inc.",140.16M,0.353,-1.12%,10.24B
RPT,Rithm Property Trust Inc.,139.90M,3.080,-,-55.49M
KYTX,"Kyverna Therapeutics, Inc.",139.88M,3.240,-2.11%,-
LFT,"Lument Finance Trust, Inc.",139.10M,2.660,2.31%,36.40M
LVO,"LiveOne, Inc.",138.72M,1.450,20.83%,127.82M
CKPT,"Checkpoint Therapeutics, Inc.",138.68M,2.840,-,47.00K
HURC,"Hurco Companies, Inc.",138.53M,21.49,1.61%,186.58M
TSQ,"Townsquare Media, Inc.",138.06M,8.88,-1.11%,447.96M
ZJYL,Jin Medical International Ltd.,137.75M,0.880,-1.13%,23.50M
SPCE,"Virgin Galactic Holdings, Inc.",137.45M,4.760,0.42%,9.42M
TSVT,"2seventy bio, Inc.",137.23M,2.660,1.53%,45.62M
LCTX,"Lineage Cell Therapeutics, Inc.",137.15M,0.601,-4.12%,8.72M
GNSS,Genasys Inc.,137.03M,3.050,-,24.01M
BEEP,Mobile Infrastructure Corporation,136.56M,4.200,-6.46%,35.74M
NTCL,NetClass Technology Inc,136.27M,7.76,-6.28%,11.60M
VERI,"Veritone, Inc.",136.01M,3.050,-1.29%,124.88M
CHRS,"Coherus BioSciences, Inc.",135.95M,1.180,-12.59%,304.34M
ACU,Acme United Corporation,135.63M,36.25,-0.63%,190.49M
CSLR,"Complete Solaria, Inc.",134.99M,1.830,-0.54%,40.80M
SRTS,"Sensus Healthcare, Inc.",134.97M,8.24,19.87%,41.31M
GNLX,Genelux Corporation,134.71M,3.950,0.51%,8.00K
SFBC,"Sound Financial Bancorp, Inc.",134.67M,52.86,-1.66%,35.78M
ZEO,Zeo Energy Corp.,134.48M,2.730,8.76%,77.58M
MRAM,"Everspin Technologies, Inc.",134.47M,6.12,-1.13%,53.87M
HOFT,Hooker Furnishings Corporation,134.19M,12.73,-3.12%,389.78M
CRNG,"CorEnergy Infrastructure Trust, Inc.",134.02M,7.32,-,131.57M
ORGN,"Origin Materials, Inc.",133.94M,0.935,-4.59%,35.12M
PLG,Platinum Group Metals Ltd.,133.45M,1.300,-,-
CMCM,Cheetah Mobile Inc.,133.28M,4.460,-0.89%,105.08M
CEP,"Cantor Equity Partners, Inc.",132.22M,10.33,-0.19%,-
ABAT,American Battery Technology Company,132.02M,1.620,17.39%,545.46K
MPAA,"Motorcar Parts of America, Inc.",131.62M,6.63,-3.21%,739.41M
EPSN,Epsilon Energy Ltd.,131.58M,6.02,-2.27%,31.15M
GAIA,"Gaia, Inc.",131.52M,5.62,-3.77%,86.64M
MIMI,Mint Incorporation Limited,131.04M,5.76,3.60%,4.38M
LPSN,"LivePerson, Inc.",130.82M,1.440,-0.69%,334.74M
ZENV,Zenvia Inc.,130.71M,2.520,-2.33%,173.59M
NVCT,"Nuvectis Pharma, Inc.",130.61M,6.76,0.30%,-
TLYS,"Tilly's, Inc.",130.56M,4.330,-0.92%,595.19M
MIST,Milestone Pharmaceuticals Inc.,130.49M,1.970,-2.48%,-
UEIC,Universal Electronics Inc.,130.28M,10.00,-1.86%,382.02M
YAAS,Youxin Technology Ltd,129.50M,3.860,1.31%,521.24K
CRBU,"Caribou Biosciences, Inc.",129.49M,1.430,9.16%,11.48M
LNSR,"LENSAR, Inc.",128.92M,11.10,2.49%,48.87M
DHX,"DHI Group, Inc.",128.75M,2.830,-4.39%,144.43M
HTLM,HomesToLife Ltd,128.66M,8.76,3.79%,4.56M
FGBI,"First Guaranty Bancshares, Inc.",128.55M,10.28,-0.68%,93.14M
BW,"Babcock & Wilcox Enterprises, Inc.",128.27M,1.360,0.74%,878.22M
BSET,"Bassett Furniture Industries, Incorporated",128.14M,14.56,-0.41%,329.92M
CMT,"Core Molding Technologies, Inc.",127.77M,14.77,-0.61%,313.66M
CLYM,"Climb Bio, Inc.",127.73M,1.900,-1.55%,-
MAMO,Massimo Group,127.47M,3.080,1.32%,130.71M
PCLA,PicoCELA Inc.,127.37M,5.16,2.58%,4.76M
SLDB,Solid Biosciences Inc.,127.06M,3.180,-4.22%,-
EUDA,EUDA Health Holdings Limited,126.93M,3.551,-4.80%,3.81M
CTGO,"Contango Ore, Inc.",126.81M,10.39,-1.89%,-
ACR,ACRES Commercial Realty Corp.,126.63M,17.68,0.45%,77.44M
ULBI,Ultralife Corporation,126.03M,7.58,-2.19%,165.15M
GATE,Marblegate Acquisition Corp.,125.78M,10.86,-0.82%,-
BRAG,Bragg Gaming Group Inc.,125.27M,4.930,-0.80%,109.52M
WHG,"Westwood Holdings Group, Inc.",125.25M,15.39,3.29%,92.37M
SKBL,Skyline Builders Group Holding Limited,125.10M,4.170,-16.77%,48.82M
PLCE,"The Children's Place, Inc.",125.08M,9.79,-0.61%,1.43B
ALTO,"Alto Ingredients, Inc.",124.93M,1.630,-0.61%,1.00B
BRLS,Borealis Foods Inc.,124.85M,5.84,3.82%,28.37M
QUIK,QuickLogic Corporation,124.59M,8.21,-0.12%,21.89M
SSSS,SuRo Capital Corp.,124.14M,5.31,-2.93%,5.90M
ZNTL,"Zentalis Pharmaceuticals, Inc.",124.00M,1.740,4.82%,40.56M
OPOF,Old Point Financial Corporation,123.90M,24.40,-0.04%,60.91M
PDEX,"Pro-Dex, Inc.",123.82M,37.97,-11.59%,61.00M
BLNK,Blink Charging Co.,123.43M,1.220,-1.61%,138.73M
ARTV,"Artiva Biotherapeutics, Inc.",123.39M,5.08,-5.93%,2.60M
ECBK,"ECB Bancorp, Inc.",123.15M,13.47,-1.75%,24.71M
ZURA,Zura Bio Limited,122.75M,1.880,6.82%,-
MNSB,"MainStreet Bancshares, Inc.",122.36M,16.61,-2.06%,59.06M
CAAS,"China Automotive Systems, Inc.",122.25M,4.050,-3.11%,621.38M
WBX,Wallbox N.V.,121.79M,0.480,4.35%,179.62M
QSG,QuantaSing Group Limited,121.65M,2.380,0.42%,532.70M
QH,Quhuo Limited,121.54M,1.355,0.37%,493.47M
PPIH,"Perma-Pipe International Holdings, Inc.",121.26M,15.19,-0.39%,153.58M
KVHI,"KVH Industries, Inc.",120.97M,6.11,1.16%,118.37M
EBMT,"Eagle Bancorp Montana, Inc.",120.78M,15.40,0.98%,80.70M
NEOV,NeoVolta Inc.,120.77M,3.620,4.02%,2.47M
QRHC,Quest Resource Holding Corporation,120.44M,5.85,-1.85%,287.90M
ZOM,Zomedica Corp.,120.44M,0.123,1.57%,26.73M
CHEB,Chenghe Acquisition II Co.,119.75M,10.14,-,-
PRPL,"Purple Innovation, Inc.",119.56M,1.110,-2.63%,504.84M
VOXR,Vox Royalty Corp.,119.55M,2.350,-2.49%,11.15M
XFOR,"X4 Pharmaceuticals, Inc.",119.40M,0.700,5.74%,1.12M
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",119.24M,9.79,-1.11%,-
BKTI,BK Technologies Corporation,119.23M,33.46,-0.09%,74.97M
RVSB,"Riverview Bancorp, Inc.",119.20M,5.64,-0.18%,46.65M
RENB,Renovaro Inc.,119.04M,0.750,-1.99%,-
LPTH,"LightPath Technologies, Inc.",118.99M,3.000,1.69%,32.05M
SKLZ,Skillz Inc.,118.83M,6.65,0.91%,106.20M
STHO,Star Holdings,118.41M,8.89,-0.11%,117.75M
VGAS,"Verde Clean Fuels, Inc.",117.94M,3.680,-3.66%,-
SIEB,Siebert Financial Corp.,117.55M,2.930,-1.35%,83.36M
MSW,Ming Shing Group Holdings Limited,117.39M,8.11,3.97%,27.57M
GIFI,"Gulf Island Fabrication, Inc.",117.25M,7.17,0.70%,166.33M
AFBI,"Affinity Bancshares, Inc.",117.03M,18.25,-1.03%,30.61M
CABA,"Cabaletta Bio, Inc.",116.82M,2.390,2.14%,-
RSSS,"Research Solutions, Inc.",116.67M,3.840,2.67%,46.61M
TOUR,Tuniu Corporation,116.59M,0.991,-3.84%,72.83M
GEOS,Geospace Technologies Corporation,116.52M,9.09,-2.57%,135.60M
ZTEK,Zentek Ltd.,116.48M,1.120,1.82%,29.13K
VBFC,Village Bank and Trust Financial Corp.,116.43M,77.60,-1.01%,33.14M
GGR,Gogoro Inc.,116.03M,0.417,0.22%,329.04M
ANRO,"Alto Neuroscience, Inc.",115.70M,4.290,-3.81%,-
STKS,"The ONE Group Hospitality, Inc.",115.70M,3.750,-3.60%,541.40M
UFI,"Unifi, Inc.",115.63M,6.33,2.76%,590.74M
LSE,"Leishen Energy Holding Co., Ltd.",115.59M,6.85,-9.87%,83.74M
UPLD,"Upland Software, Inc.",115.25M,4.200,-2.10%,278.95M
USGO,U.S. GoldMining Inc.,115.24M,9.26,-0.54%,-
DGHI,Digihost Technology Inc.,115.18M,3.410,-6.83%,42.15M
COE,51Talk Online Education Group,115.08M,20.00,-,41.92M
CRDL,Cardiol Therapeutics Inc.,115.02M,1.410,-0.70%,-
AMTX,"Aemetis, Inc.",114.89M,2.310,0.43%,291.40M
FNWD,Finward Bancorp,114.61M,26.57,-0.34%,71.60M
SAVA,"Cassava Sciences, Inc.",114.50M,2.380,-,-
SLS,"SELLAS Life Sciences Group, Inc.",114.02M,1.620,21.80%,-
ACNT,Ascent Industries Co.,113.95M,11.29,-2.00%,178.42M
ELVA,Electrovaya Inc.,113.84M,2.500,-3.10%,44.62M
INTT,inTEST Corporation,113.23M,9.15,2.58%,121.97M
DTI,Drilling Tools International Corporation,113.18M,3.180,-0.63%,149.79M
BROG,Brooge Energy Limited,112.88M,1.030,1.98%,73.02M
VCSA,"Vacasa, Inc.",112.87M,5.02,-0.59%,949.94M
PCSC,Perceptive Capital Solutions Corp,112.67M,10.18,-,-
ACHV,"Achieve Life Sciences, Inc.",112.46M,3.270,0.93%,-
OVBC,Ohio Valley Banc Corp.,112.36M,23.85,-0.71%,59.51M
CGTL,Creative Global Technology Holdings Limited,112.33M,5.24,-7.26%,35.61M
SVII,Spring Valley Acquisition Corp. II,112.14M,11.35,-,-
NTIC,Northern Technologies International Corporation,112.13M,11.84,-2.55%,86.22M
LGO,Largo Inc.,111.63M,1.754,-0.89%,144.82M
IPXX,Inflection Point Acquisition Corp. II,111.61M,13.20,3.86%,-
GECC,Great Elm Capital Corp.,111.29M,10.65,-0.19%,39.47M
ELUT,Elutia Inc.,111.29M,3.220,3.87%,24.78M
CHAR,Charlton Aria Acquisition Corporation,110.18M,10.20,-1.35%,-
VEEA,Veea Inc.,109.92M,3.080,-0.65%,140.04K
SRBK,"SR Bancorp, Inc.",109.79M,12.61,0.32%,29.08M
SRL,Scully Royalty Ltd.,109.68M,7.40,-4.52%,34.00M
ECOR,"electroCore, Inc.",109.59M,16.72,6.43%,23.33M
EPRX,Eupraxia Pharmaceuticals Inc.,109.53M,2.896,-3.48%,-
SPHA,Shepherd Ave Capital Acquisition Corporation,109.37M,10.15,-,-
WLGS,"WANG & LEE GROUP, Inc.",109.13M,7.23,3.43%,7.27M
ENTA,"Enanta Pharmaceuticals, Inc.",109.01M,5.11,-0.58%,67.64M
QMCO,Quantum Corporation,108.61M,22.40,-0.22%,285.24M
PROV,"Provident Financial Holdings, Inc.",108.48M,16.04,1.20%,38.44M
EDIT,"Editas Medicine, Inc.",108.14M,1.310,-4.38%,61.76M
OFS,OFS Capital Corporation,107.99M,8.06,-0.12%,49.80M
RBKB,"Rhinebeck Bancorp, Inc.",107.98M,10.02,-0.30%,25.91M
CPHC,Canterbury Park Holding Corporation,107.92M,21.50,0.84%,62.11M
DLHC,DLH Holdings Corp.,107.90M,7.50,-1.32%,395.94M
FCAP,"First Capital, Inc.",107.26M,32.00,0.47%,42.00M
SILC,Silicom Ltd.,107.10M,17.56,2.93%,58.11M
RDZN,"Roadzen, Inc.",106.84M,1.440,-2.04%,46.45M
LGCY,Legacy Education Inc.,106.69M,8.63,6.94%,49.64M
WMPN,William Penn Bancorporation,106.46M,12.61,-1.79%,20.36M
CHMI,Cherry Hill Mortgage Investment Corporation,106.01M,3.290,1.54%,-2.60M
ATOS,"Atossa Therapeutics, Inc.",105.91M,0.842,-2.70%,-
FRD,"Friedman Industries, Incorporated",105.68M,15.17,8.67%,469.52M
BRIA,Brillia Inc,105.66M,3.450,-,55.76M
NA,Nano Labs Ltd,105.53M,6.84,-1.58%,6.99M
XBIT,XBiotech Inc.,105.47M,3.460,-4.42%,-
TAYD,"Taylor Devices, Inc.",104.75M,33.40,-1.33%,44.49M
RRGB,"Red Robin Gourmet Burgers, Inc.",104.52M,6.01,-5.80%,1.27B
TELA,"TELA Bio, Inc.",103.99M,2.640,-0.75%,68.65M
VRA,"Vera Bradley, Inc.",103.70M,3.740,-5.08%,405.27M
MAXN,"Maxeon Solar Technologies, Ltd.",103.27M,6.18,-0.32%,689.01M
GCTS,"GCT Semiconductor Holding, Inc.",103.11M,2.160,-5.26%,11.53M
SNCR,"Synchronoss Technologies, Inc.",102.75M,9.88,-1.00%,170.79M
DLTH,Duluth Holdings Inc.,102.72M,2.920,-1.68%,630.97M
SND,"Smart Sand, Inc.",102.58M,2.390,-2.05%,281.96M
OPRX,OptimizeRx Corporation,102.24M,5.55,-2.80%,88.18M
PBHC,"Pathfinder Bancorp, Inc.",101.75M,16.68,-1.88%,40.02M
NB,NioCorp Developments Ltd.,101.60M,2.390,6.22%,-
FBRX,"Forte Biosciences, Inc.",101.59M,15.89,-0.44%,-
COYA,"Coya Therapeutics, Inc.",101.58M,6.08,3.75%,9.55M
TARA,"Protara Therapeutics, Inc.",101.50M,4.920,9.33%,-
FONR,FONAR Corporation,100.79M,15.75,-0.51%,102.01M
MGX,"Metagenomi, Inc.",100.67M,2.690,-5.61%,55.08M
PWUP,PowerUp Acquisition Corp.,100.48M,12.94,9.38%,-
ELTX,"Elicio Therapeutics, Inc.",100.33M,9.31,-1.17%,-
LXEH,"Lixiang Education Holding Co., Ltd.",100.24M,5.23,-5.25%,5.63M
PFX,PhenixFIN Corporation,99.47M,49.25,0.78%,22.18M
DSY,Big Tree Cloud Holdings Limited,99.32M,1.740,1.16%,7.32M
SIFY,Sify Technologies Limited,99.00M,3.240,5.19%,465.33M
STEM,"Stem, Inc.",98.74M,0.607,5.79%,256.18M
PETS,"PetMed Express, Inc.",98.22M,4.760,-5.18%,259.34M
MLSS,Milestone Scientific Inc.,98.14M,1.260,-1.56%,8.88M
OCFT,"OneConnect Financial Technology Co., Ltd.",97.90M,3.350,-2.33%,407.83M
AE,"Adams Resources & Energy, Inc.",97.69M,37.95,-,2.78B
THCH,TH International Limited,97.64M,3.090,-1.59%,207.03M
BSBK,Bogota Financial Corp.,97.55M,7.69,0.13%,12.13M
SATX,Satixfy Communications Ltd.,97.54M,1.150,-8.73%,10.35M
SKYE,"Skye Bioscience, Inc.",97.39M,3.210,-14.40%,-
VIGL,"Vigil Neuroscience, Inc.",97.18M,2.380,1.28%,-
MNOV,"MediciNova, Inc.",97.11M,1.980,-3.41%,-
AFJK,"Aimei Health Technology Co., Ltd",97.03M,10.75,0.37%,-
CAMP,Camp4 Therapeutics Corporation,96.97M,4.810,-18.47%,-
EVGR,Evergreen Corporation,96.53M,11.96,-0.66%,-
GLAC,Global Lights Acquisition Corp,96.48M,10.75,-,-
MHLD,"Maiden Holdings, Ltd.",96.42M,1.010,-4.72%,89.07M
ATLX,Atlas Lithium Corporation,96.35M,6.25,-0.79%,543.66K
CNTY,"Century Casinos, Inc.",96.34M,3.140,2.28%,581.91M
SOL,Emeren Group Ltd,95.85M,1.870,-2.09%,102.49M
OPTT,"Ocean Power Technologies, Inc.",95.79M,0.656,2.63%,7.08M
ALGS,"Aligos Therapeutics, Inc.",95.76M,25.80,8.68%,6.00M
HNNA,"Hennessy Advisors, Inc.",95.74M,12.30,1.07%,29.65M
KNDI,"Kandi Technologies Group, Inc.",95.54M,1.110,-4.31%,118.13M
FNWB,First Northwest Bancorp,95.29M,10.95,2.91%,50.90M
GMHS,Gamehaus Holdings Inc.,95.22M,1.701,-8.05%,-
DERM,Journey Medical Corporation,95.05M,4.550,14.32%,57.77M
HLVX,"HilleVax, Inc.",95.02M,1.970,-1.01%,-
