Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
IVZ,Invesco Ltd.,8.62B,19.23,0.05%,6.07B
G,Genpact Limited,8.59B,48.69,0.56%,4.66B
ZION,"Zions Bancorporation, National Association",8.56B,57.86,-0.74%,3.06B
LW,"Lamb Weston Holdings, Inc.",8.55B,59.94,-2.15%,6.33B
EXP,Eagle Materials Inc.,8.55B,256.74,-1.05%,2.27B
IONQ,"IonQ, Inc.",8.55B,39.49,1.75%,37.47M
FRHC,Freedom Holding Corp.,8.54B,140.84,-0.70%,1.31B
DCI,"Donaldson Company, Inc.",8.50B,71.19,-0.64%,3.64B
PAAS,Pan American Silver Corp.,8.49B,23.21,-3.73%,2.67B
OGE,OGE Energy Corp.,8.49B,42.23,-1.15%,2.79B
SFD,"Smithfield Foods, Inc.",8.45B,21.50,-1.33%,14.19B
TTC,The Toro Company,8.43B,83.27,-1.54%,4.58B
CRL,"Charles River Laboratories International, Inc.",8.43B,164.76,-0.49%,4.06B
PSN,Parsons Corporation,8.42B,79.27,0.58%,6.51B
ENPH,"Enphase Energy, Inc.",8.41B,62.28,0.37%,1.25B
APPF,"AppFolio, Inc.",8.40B,233.91,-7.76%,794.20M
CHE,Chemed Corporation,8.39B,562.00,0.12%,2.38B
EGP,"EastGroup Properties, Inc.",8.38B,169.62,-0.36%,627.82M
TFX,Teleflex Incorporated,8.37B,180.24,-1.42%,3.03B
MKTX,MarketAxess Holdings Inc.,8.32B,220.63,1.31%,811.94M
LCID,"Lucid Group, Inc.",8.31B,2.760,1.47%,730.51M
X,United States Steel Corporation,8.30B,36.85,0.88%,15.64B
FLR,Fluor Corporation,8.27B,48.21,-0.68%,15.88B
FSV,FirstService Corporation,8.27B,181.87,-1.25%,4.93B
GPK,Graphic Packaging Holding Company,8.23B,27.43,-2.45%,8.96B
FLS,Flowserve Corporation,8.23B,62.62,-0.52%,4.54B
WF,Woori Financial Group Inc.,8.23B,32.70,0.03%,7.57B
LPX,Louisiana-Pacific Corporation,8.22B,116.97,-1.00%,2.92B
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.18B,274.47,-3.97%,1.49B
WH,"Wyndham Hotels & Resorts, Inc.",8.17B,105.02,0.57%,1.38B
BBWI,"Bath & Body Works, Inc.",8.15B,37.61,-1.98%,7.43B
HIMS,"Hims & Hers Health, Inc.",8.14B,37.28,9.78%,1.24B
ATI,ATI Inc.,8.14B,57.09,-1.21%,4.25B
SIRI,Sirius XM Holdings Inc.,8.13B,24.01,3.89%,8.70B
KT,KT Corporation,8.12B,17.33,-1.48%,20.14B
SKM,"SK Telecom Co., Ltd.",8.12B,21.33,-0.79%,13.67B
APA,APA Corporation,8.11B,21.93,-4.61%,8.96B
ROIV,Roivant Sciences Ltd.,8.10B,11.13,-2.11%,129.13M
EXLS,"ExlService Holdings, Inc.",8.09B,50.26,-0.46%,1.77B
EAT,"Brinker International, Inc.",8.08B,181.97,-0.29%,4.83B
DLB,"Dolby Laboratories, Inc.",8.07B,83.73,-4.11%,1.32B
HAS,"Hasbro, Inc.",8.07B,57.84,-2.89%,4.32B
GIL,Gildan Activewear Inc.,7.98B,51.61,-1.53%,3.23B
EDU,New Oriental Education & Technology Group Inc.,7.97B,48.76,-1.44%,4.82B
SNV,Synovus Financial Corp.,7.96B,56.42,-0.16%,1.85B
ENSG,"The Ensign Group, Inc.",7.95B,139.66,-2.20%,4.11B
RVMD,"Revolution Medicines, Inc.",7.94B,42.95,-0.28%,742.00K
SATS,EchoStar Corporation,7.91B,27.66,0.69%,16.02B
BRX,Brixmor Property Group Inc.,7.87B,26.06,-1.51%,1.27B
LSCC,Lattice Semiconductor Corporation,7.87B,57.02,0.51%,562.58M
BERY,"Berry Global Group, Inc.",7.86B,67.92,-0.63%,12.26B
INFA,Informatica Inc.,7.84B,25.68,0.16%,1.66B
FN,Fabrinet,7.84B,216.21,1.59%,3.00B
AXTA,Axalta Coating Systems Ltd.,7.84B,35.94,-2.52%,5.26B
AES,The AES Corporation,7.82B,11.00,-0.85%,12.28B
PATH,UiPath Inc.,7.82B,14.22,-2.47%,1.41B
ASND,Ascendis Pharma A/S,7.81B,130.66,2.64%,365.19M
TREX,"Trex Company, Inc.",7.80B,72.83,-1.66%,1.18B
RH,RH,7.80B,419.11,-3.24%,3.11B
AGCO,AGCO Corporation,7.80B,104.43,-1.83%,12.58B
CE,Celanese Corporation,7.77B,71.04,-1.57%,10.48B
FRPT,"Freshpet, Inc.",7.76B,159.95,-1.62%,927.89M
QRVO,"Qorvo, Inc.",7.75B,82.98,-0.88%,3.79B
AM,Antero Midstream Corporation,7.72B,16.04,-1.29%,1.15B
MHK,"Mohawk Industries, Inc.",7.72B,122.30,-3.31%,10.81B
OBDC,Blue Owl Capital Corporation,7.72B,15.11,0.40%,1.61B
HII,"Huntington Ingalls Industries, Inc.",7.72B,197.26,0.90%,11.71B
OTEX,Open Text Corporation,7.71B,29.44,-1.70%,5.61B
STEP,StepStone Group Inc.,7.70B,64.08,-0.99%,800.28M
S,"SentinelOne, Inc.",7.70B,23.95,-0.70%,770.12M
NBIS,Nebius Group N.V.,7.69B,32.66,2.70%,8.66B
SUN,Sunoco LP,7.66B,56.33,-2.88%,23.07B
CZR,"Caesars Entertainment, Inc.",7.66B,36.05,-0.50%,11.27B
MKSI,"MKS Instruments, Inc.",7.62B,113.28,0.27%,3.54B
PB,"Prosperity Bancshares, Inc.",7.62B,80.00,-0.40%,1.18B
AXS,AXIS Capital Holdings Limited,7.61B,91.02,-1.90%,5.96B
ONB,Old National Bancorp,7.61B,23.85,0.25%,1.76B
ICL,ICL Group Ltd,7.59B,5.88,-0.68%,6.93B
HRB,"H&R Block, Inc.",7.58B,55.31,-0.22%,3.62B
LNW,"Light & Wonder, Inc.",7.58B,87.91,-1.19%,3.16B
OSK,Oshkosh Corporation,7.57B,116.40,2.77%,10.76B
CAE,CAE Inc.,7.54B,23.60,-3.24%,3.28B
LEVI,Levi Strauss & Co.,7.53B,19.03,0.95%,6.36B
ADC,Agree Realty Corporation,7.52B,72.57,-0.38%,600.53M
JAZZ,Jazz Pharmaceuticals plc,7.52B,124.37,-0.54%,3.99B
ALV,"Autoliv, Inc.",7.51B,96.66,-4.60%,10.39B
ERJ,Embraer S.A.,7.51B,40.97,0.02%,5.77B
ESAB,ESAB Corporation,7.49B,123.84,-0.32%,2.76B
AN,"AutoNation, Inc.",7.48B,188.55,-1.61%,26.32B
DDS,"Dillard's, Inc.",7.44B,468.11,-0.65%,6.70B
LOAR,Loar Holdings Inc.,7.44B,79.48,-0.79%,378.81M
TAL,TAL Education Group,7.41B,12.23,-2.55%,2.07B
NNN,"NNN REIT, Inc.",7.39B,39.39,0.72%,867.02M
VIPS,Vipshop Holdings Limited,7.38B,14.37,-4.01%,15.66B
AZEK,The AZEK Company Inc.,7.35B,51.23,-1.48%,1.44B
NXT,Nextracker Inc.,7.34B,50.42,-0.41%,2.77B
XP,XP Inc.,7.33B,13.65,-2.50%,2.92B
BECN,"Beacon Roofing Supply, Inc.",7.32B,118.34,-0.67%,9.66B
WEX,WEX Inc.,7.32B,183.89,-1.29%,2.66B
MDGL,"Madrigal Pharmaceuticals, Inc.",7.30B,334.80,-1.03%,76.81M
CCCS,CCC Intelligent Solutions Holdings Inc.,7.29B,11.11,-0.63%,926.94M
FR,"First Industrial Realty Trust, Inc.",7.26B,53.39,-0.30%,655.53M
PARA,Paramount Global,7.26B,10.88,-0.91%,28.87B
KBR,"KBR, Inc.",7.25B,54.42,-2.49%,7.35B
BMA,Banco Macro S.A.,7.25B,99.45,-2.13%,3.38B
MTDR,Matador Resources Company,7.24B,58.00,-2.59%,3.10B
CIGI,Colliers International Group Inc.,7.22B,142.35,-0.59%,4.56B
BPOP,"Popular, Inc.",7.22B,102.94,-0.53%,2.68B
HALO,"Halozyme Therapeutics, Inc.",7.21B,56.64,0.39%,947.36M
OS,"OneStream, Inc.",7.19B,29.78,-0.13%,459.53M
BPMC,Blueprint Medicines Corporation,7.15B,112.53,-1.33%,434.42M
BFAM,Bright Horizons Family Solutions Inc.,7.13B,122.60,-1.67%,2.63B
HMY,Harmony Gold Mining Company Limited,7.12B,11.27,-0.70%,3.36B
NVMI,Nova Ltd.,7.12B,245.18,1.31%,611.85M
OLED,Universal Display Corporation,7.12B,149.92,-0.96%,643.71M
JHG,Janus Henderson Group plc,7.09B,44.93,2.91%,2.47B
MNSO,MINISO Group Holding Limited,7.09B,22.99,-2.83%,2.50B
SSD,"Simpson Manufacturing Co., Inc.",7.08B,168.00,-0.96%,2.22B
